# NOAA Paleoclimatology Program - Paleocean Site Data
# odp704a_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David A. Hodell
# Core/Site:      ODP704A
# Latitude:       46.53.00S	( -46.88334)
# Longitude:      7.25.00E	( 7.41667)
# Water Depth(m): 2532
#
# Publications:
#   Hodell, D.A., C. Charles, and U. Ninnemann. 2000. Comparison of interglacial
#     stages in the South Atlantic sector of the southern ocean for the past 450 kyr:
#     implications for Marine Isotope Stage(MIS) 11. Global and Planetary
#     Change 24:7-26.
#------------------
#
# Description & Notes:
#   South Atlantic Foraminifer Stable Isotope Data, Marine Isotope Stage 11.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cn.pachy   delta C13 PDB (Neogloboquadrina pachyderma)
#             d18On.pachy   delta O18 PDB (Neogloboquadrina pachyderma)
#
# CORE: ODP704A
depth         yrBP          d13Cn.pachy   d18On.pachy   
-999           421350        1.11          2.79         
-999           421770        1.05          2.88         
-999           422190        1.04          2.79         
-999           422620        1.08          3.11         
-999           423040        1.01          3.28         
-999           423470        1.02          2.95         
-999           423890        1.09          2.84         
-999           424320        1.11          3.16         
-999           424740        1.07          3.56         
-999           425170        1.06          3.53         
-999           425590        1.05          3.51         
-999           426020        1.06          3.49         
-999           426440        1.02          3.35         
-999           426870        0.98          3.33         
-999           427290        0.98          3.25         
-999           427720        0.98          3.23         
-999           428140        0.84          3.1          
-999           428570        0.91          3.21         
-999           428990        0.88          3.33         
-999           429420        0.8           3.18         
-999           429840        0.73          3.29         
-999           430270        0.51          3.17         
-999           430690        0.51          3.44         
-999           431120        0.44          3.32         
-999           431540        0.53          3.37         
-999           431960        0.23          3.71         
-999           432390        0.4           3.52         
-999           432810        0.11          3.63         
-999           433240        0.17          3.78         
-999           433660        0.29          3.44         
-999           434090        0.53          3.39         
-999           434510        0.49          3.23         
-999           434940        0.31          3.98         
-999           435360       -0.27          3.76         
-999           435580       -0.05          3.91         
-999           436000       -0.29          4.06         
-999           436990        0.09          3.99         
