hole	core	sect	interv	MCD	age (kyrs)	cib 18O	cib 13C	bull 18O	 bull 13C 	%CaCO3	%IRD
982A	1	4	42-44	4.92	247.08	2.56	0.89	2.77	-1.05	51.58	10.4170
982A	1	4	47-49	4.97	250.17	3.45	0.73	2.76	-1.06	27.42	31.4290
982A	1	4	52-54	5.02	253.26	3.21	0.84	2.73	-1.10	39.75	11.9050
982A	1	4	57-59	5.07	256.35	3.40	0.86	2.70	-1.30	26.42	5.7432
982A	1	4	62-64	5.12	259.44	3.44	0.77	2.34	-1.38	34.00	7.1698
982A	1	4	67-69	5.17	262.55	3.54	1.00	2.81	-1.43	27.42	10.9590
982A	1	4	72-74	5.22	265.66	3.83	0.79	2.52	-1.03	19.33	7.7844
982A	1	4	77-79	5.27	268.76	3.84	1.05	2.86	-0.66	41.50	2.5105
982A	1	4	82-84	5.32	271.87	3.21	0.99	2.68	-0.69	69.67	0.6085
982A	1	4	87-89	5.37	274.91	3.14	0.96	2.64	-0.73	66.00	0.2028
982A	1	4	92-94	5.42	277.36	2.84	0.85	2.66	-0.26	66.92	2.8926
982A	1	4	97-99	5.47	279.82	3.47	1.09	2.51	-0.43	80.00	1.0549
982A	1	4	102-104	5.52	282.27	3.50	0.98	2.40	-0.59	77.92	2.7542
982A	1	4	107-109	5.57	284.73	2.91	1.03	2.50	-0.69	59.17	1.0373
982A	1	4	112-114	5.62	287.17	3.04	0.94	2.11	-0.38	72.33	0.8584
982A	1	4	117-119	5.67	289.5	3.04	1.14	2.40	-0.61	72.83	0.8333
982A	1	4	122-124	5.72	291.82	3.07	1.06	2.32	-0.50	77.17	0.4098
982A	1	4	127-129	5.77	294.14	2.94	1.22	2.43	-0.38	74.08	0.0000
982A	1	4	132-134	5.82	296.46	3.17	1.18	2.50	-0.31	70.00	0.6123
982A	1	4	137-139	5.87	298.77	3.02	1.19	2.35	-0.22	62.25	0.6135
982A	1	5	 2-4	6.02	304.09	2.64	1.10	2.27	-0.41	69.17	0.8529
982A	1	5	 7-9	6.07	305.86	2.79	1.12	1.87	-0.46	68.58	1.5054
982A	1	5	 12-14	6.12	307.64	2.74	1.09	1.91	-0.56	67.42	2.2727
982A	1	5	17-19	6.17	309.41	2.74	1.07	2.21	-0.66	80.25	0.2096
982A	1	5	22-24	6.22	311.18	2.48	0.96	1.90	-0.63	79.42	0.2033
982A	1	5	27-29	6.27	312.95			1.71	-0.55	82.47	0.0000
982A	1	5	32-34	6.32	314.73	2.56	0.93	1.73	-0.63	77.08	0.4107
982A	1	5	37-39	6.37	316.5	2.63	1.08	1.63	-0.82	78.50	0.6211
982A	1	5	42-44	6.42	318.27	2.52	0.94	1.73	-0.73	75.75	0.8333
982A	1	5	47-49	6.47	320.05	2.51	1.08	1.84	-0.88	74.33	1.9737
982A	1	5	52-54	6.52	321.82	2.57	1.10	1.77	-0.95	72.17	2.3148
982A	1	5	57-59	6.57	323.59	3.00	0.96	1.88	-0.67	69.42	2.1645
982A	1	5	62-64	6.62	325.36	2.91	0.09	1.61	-1.05	71.33	1.4583
982A	1	5	67-69	6.67	327.14	2.75	-0.03	1.39	-0.84	63.50	2.2917
982A	1	5	72-74	6.72	328.91	2.73	0.03	1.64	-1.23	54.75	6.5217
982A	1	5	77-79	6.77	330.68	2.49	0.06	1.62	-1.17	54.25	3.8055
982A	1	5	82-84	6.82	332.45	2.77	-0.01	1.62	-1.33	17.92	22.4060
982A	1	5	87-89	6.87	334.23	3.13	0.63	2.98	-1.53	18.75	36.9570
982A	1	5	92-94	6.92	335.68	3.18	0.62	2.30	-1.03	27.75	20.6030
982A	1	5	97-99	6.97	337.08	3.56	0.81	2.93	-1.45	24.67	18.6400
982A	1	5	102-104	7.02	338.48	3.52	1.06	2.90	-1.08	36.42	4.9041
982A	1	5	107-109	7.07	339.88	3.51	0.95	3.02	-1.07	38.33	5.3079
982A	1	5	112-114	7.12	341.28	3.23	0.94	2.88	-1.18	35.75	10.2170
982A	1	5	117-119	7.17	342.62	3.48	0.90	2.65	-1.36	24.25	30.1440
