Comp. Depth	LR04 age (ka)	d18O	d13C
40.92	1105.8	3.63	0.55
41.04	1108.9	3.74	0.85
41.22	1112.9	3.65	0.73
41.29	1114.5	4.21	0.45
41.42	1117.3	4.38	0.16
41.49	1118.9	4.25	-0.46
41.64	1122.4	4.45	-0.02
41.72	1124.1	4.39	-0.04
41.82	1126.1	4.42	0.16
41.94	1128.5	4.36	0.38
42.12	1132.2	3.48	0.25
42.24	1135.2	4	0.18
42.32	1138.3	3.89	0.5
42.54	1148.0	3.86	0.51
42.72	1155.3	3.46	0.66
42.79	1158.2	3.36	0.98
42.92	1163.0	3.41	0.73
42.99	1165.4	3.5	0.95
43.14	1170.2	3.5	0.86
43.22	1172.4	3.45	0.84
43.32	1175.1	3.56	0.83
43.44	1177.7	3.67	0.86
43.62	1181.6	3.7	0.93
43.74	1184.2	3.61	0.86
43.82	1185.9	3.59	0.65
43.92	1188.4	3.67	0.38
44.04	1191.6	4.08	0.43
44.22	1196.4	4.34	-0.07
44.29	1198.2	4.53	-0.22
44.42	1201.6	4.42	0.02
44.49	1203.6	4.41	0.03
44.64	1208.2	4.38	-0.13
44.72	1210.2	4.3	0.02
44.82	1212.6	3.71	0
44.94	1215.4	3.85	0.13
45.12	1219.5	3.89	-0.02
45.24	1222.5	3.8	0.45
45.32	1224.4	3.83	0.45
45.42	1227.4	3.3	0.76
45.54	1230.8	3.3	0.89
45.72	1235.8	3.23	0.78
45.79	1237.8	3.39	0.4
45.92	1241.2	3.37	0.01
45.99	1243.0	3.56	0.23
46.14	1247.9	4.43	-0.36
