Depth (mcd)	Species	13/12-C	18/16-O	13/12-C CW+0 glob+0.5	18/16-O CW+0.64 glob-0.1	Age.ka
63.64	Cw	0.41	2.67	0.41	3.31	4186
63.69	Cw	0.41	2.63	0.41	3.27	4192
63.74	Cw	0.77	2.7	0.77	3.34	4197
63.79	Cw	0.4	2.44	0.4	3.08	4203
63.84	Cw	0.06	2.94	0.06	3.58	4208
63.89	Cw	0.08	2.83	0.08	3.47	4214
63.94	Glob	0.17	3.41	0.67	3.31	4220
63.99	Cw	0.01	2.67	0.01	3.31	4225
64.04	Cw	0.28	2.87	0.28	3.51	4231
64.09	Cw	0.21	2.78	0.21	3.42	4236
64.14	Cw	0.53	2.53	0.53	3.17	4242
64.19	Cw	0.58	2.64	0.58	3.28	4248
64.29	Cw	0.23	2.6	0.23	3.24	4259
64.34	Cw	0.35	2.75	0.35	3.39	4264
64.39	Cw	0.36	2.86	0.36	3.5	4270
64.44	Cw	0.62	2.8	0.62	3.44	4276
64.54	Cw	0.31	2.74	0.31	3.38	4287
64.59	Cw	0.34	2.7	0.34	3.34	4292
64.64	Cw	0.59	2.58	0.59	3.22	4298
64.69	Cw	0.44	2.6	0.44	3.24	4304
64.79	Cw	0.55	2.58	0.55	3.22	4315
64.84	Cw	0.32	2.4	0.32	3.04	4320
64.89	Cw	0.5	2.62	0.5	3.26	4326
64.94	Cw	0.6	2.54	0.6	3.18	4332
64.99	Cw	0.16	2.9	0.16	3.54	4337
65.04	Cw	-0.02	2.85	-0.02	3.49	4343
65.09	Cw	0.08	2.77	0.08	3.41	4348
