# NOAA Paleoclimatology Program - Paleocean Site Data
# odp982an_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Carin Andersson
# Core/Site:      ODP982
# Latitude:       57.30.05N	( 57.50139)
# Longitude:      15.52.03W	( -15.8675)
# Water Depth(m): 1145
#
# Publications:
#   Andersson, C., and E. Jansen. 2003. A Miocene (8–12 Ma) intermediate water benthic
#     stable isotope record from the northeastern Atlantic, ODP Site 982, Paleoceanography,
#     18(1):1013.
#------------------
#
# Description & Notes:
#   Miocene Benthic Stable Isotope Data.
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP982
depth         yrBP          d13Cc.wuell   d18Oc.wuell   notes
 32304         8868000       1.26          1.68         982B-33X-4, 55-57           
 32314         8870000       1.44          2.18         982B-33X-4, 65-67           
 32324         8873000       1.35          1.82         982B-33X-4, 75-77           
 32334         8876000       1.28          1.95         982B-33X-4, 85-87           
 32344         8879000       0.98          1.8          982B-33X-4, 95-97           
 32354         8882000       1.23          1.82         982B-33X-4, 105-107         
 32364         8884000       1.2           1.94         982B-33X-4, 115-117         
 32374         8887000       1.01          1.92         982B-33X-4, 125-127         
 32384         8890000       0.9           1.93         982B-33X-4, 135-137         
 32394         8893000       0.94          1.91         982B-33X-4, 145-147         
 32404         8895000       1.01          2.01         982B-33X-5, 5- 7            
 32414         8898000       1.07          2.18         982B-33X-5, 15-17           
 32424         8901000       0.85          1.95         982B-33X-5, 25-27           
 32434         8904000       1.03          2.04         982B-33X-5, 35-37           
 32444         8907000       1             1.99         982B-33X-5, 45-47           
 32454         8909000       1.07          2.01         982B-33X-5, 55-57           
 32464         8912000       1.17          1.86         982B-33X-5, 65-67           
 32474         8915000       1.24          1.93         982B-33X-5, 75-77           
 32484         8918000       1.24          1.7          982B-33X-5, 85-87           
 32494         8921000       1.26          1.88         982B-33X-5, 95-97           
