mcd	c13	o18 (o/oo PDB)	species
25,97	0,82	2,85	C. wuellerstorfi
26,07	0,87	3,28	C. wuellerstorfi
26,17	0,86	3,15	C. wuellerstorfi
26,27	1,06	2,70	C. wuellerstorfi
26,37	1,15	2,42	C. wuellerstorfi
26,47	1,22	2,63	C. wuellerstorfi
26,57	0,04	3,48	C. wuellerstorfi
26,67	-0,03	3,59	C. wuellerstorfi
26,87	0,17	3,50	C. wuellerstorfi
26,97	1,13	3,19	C. wuellerstorfi
27,07	0,11	3,04	C. wuellerstorfi
27,27	1,04	3,31	C. wuellerstorfi
27,37	1,00	2,90	C. wuellerstorfi
27,57	0,83	3,17	C. wuellerstorfi
27,67	0,89	2,73	C. wuellerstorfi
27,67	1,07	2,67	C. wuellerstorfi
27,77	0,89	2,75	C. wuellerstorfi
27,87	1,02	2,56	C. wuellerstorfi
27,97	0,88	2,96	C. wuellerstorfi
28,07	0,12	3,24	C. wuellerstorfi
28,07	0,80	2,94	C. wuellerstorfi
28,17	0,23	4,14	C. wuellerstorfi
28,27	-0,04	4,17	C. wuellerstorfi
28,37	-0,15	4,44	C. wuellerstorfi
28,47	0,34	4,16	C. wuellerstorfi
28,57	0,10	4,22	C. wuellerstorfi
28,67	0,26	4,24	C. wuellerstorfi
28,77	0,14	4,14	C. wuellerstorfi
28,87	-0,30	4,07	C. wuellerstorfi
28,97	0,19	4,12	C. wuellerstorfi
29,07	0,38	3,92	C. wuellerstorfi
29,07	0,47	3,83	C. wuellerstorfi
29,17	0,08	3,90	C. wuellerstorfi
29,26	0,02	3,86	C. wuellerstorfi
29,37	0,20	3,91	C. spp.
29,47	-0,06	3,79	C. wuellerstorfi
29,57	0,08	4,00	C. wuellerstorfi
29,67	0,20	3,77	C. wuellerstorfi
29,87	0,17	3,82	C. wuellerstorfi
29,87	0,27	3,87	C. wuellerstorfi
29,97	0,10	3,76	C. wuellerstorfi
30,07	-0,07	3,66	C. wuellerstorfi
30,27	0,33	3,69	C. wuellerstorfi
30,27	-0,04	3,65	C. wuellerstorfi
30,37	0,58	3,34	C. wuellerstorfi
30,47	0,74	3,29	C. spp.
30,67	0,73	3,28	C. wuellerstorfi
30,77	0,36	3,02	C. wuellerstorfi
30,77	1,02	2,66	C. wuellerstorfi
30,87	1,00	2,63	C. wuellerstorfi
31,67	-0,37	3,51	C. wuellerstorfi
31,77	-0,39	3,83	C. wuellerstorfi
31,87	-0,20	3,83	C. wuellerstorfi
31,97	0,09	3,81	C. wuellerstorfi
32,07	0,21	3,69	C. wuellerstorfi
32,07	0,75	3,57	C. wuellerstorfi
32,17	0,78	3,63	C. wuellerstorfi
32,27	0,80	3,43	C. wuellerstorfi
32,37	0,83	3,31	C. wuellerstorfi
32,37	1,05	3,27	C. wuellerstorfi
32,47	0,78	3,34	C. wuellerstorfi
32,57	0,85	3,31	C. wuellerstorfi
32,67	0,88	3,33	C. wuellerstorfi
32,87	0,71	3,41	C. wuellerstorfi
32,97	0,50	3,23	C. wuellerstorfi
33,07	-0,24	3,92	C. wuellerstorfi
33,17	-0,25	3,78	C. wuellerstorfi
33,47	-0,08	3,72	C. wuellerstorfi
33,87	-0,14	3,31	C. wuellerstorfi
34,07	0,58	3,25	C. wuellerstorfi
34,17	0,83	3,03	C. wuellerstorfi
34,37	0,71	2,93	C. wuellerstorfi
34,47	0,76	2,60	C. wuellerstorfi
34,56	0,89	2,60	C. wuellerstorfi
34,66	0,92	2,73	C. wuellerstorfi
34,86	-0,25	3,65	C. wuellerstorfi
35,06	-0,32	3,91	C. wuellerstorfi
35,16	-0,17	3,79	C. wuellerstorfi
35,16	-0,55	3,97	C. wuellerstorfi
35,26	-0,10	3,89	C. wuellerstorfi
35,36	-0,01	3,71	C. wuellerstorfi
35,46	0,30	3,80	C. wuellerstorfi
35,56	0,31	3,48	C. wuellerstorfi
35,96	0,61	2,96	C. spp.
36,16	-0,35	3,22	C. wuellerstorfi
36,26	0,58	3,27	C. wuellerstorfi
36,36	0,52	2,94	C. kullenbergi
36,56	0,52	3,31	C. wuellerstorfi
36,76	0,65	2,69	C. wuellerstorfi
36,76	0,78	2,63	C. wuellerstorfi
37,16	0,17	2,73	C. wuellerstorfi
37,26	0,30	2,39	C. wuellerstorfi
37,36	-0,39	3,97	C. wuellerstorfi
37,46	-0,47	3,99	C. wuellerstorfi
37,56	-0,54	4,02	C. wuellerstorfi
37,66	0,84	2,93	C. wuellerstorfi
37,66	-0,11	3,92	C. wuellerstorfi
