EPICA Dome C Ice Cores Insoluble Dust Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Cores Insoluble Dust Data
LAST UPDATE: 7/2004 (Original receipt by WDC Paleo)


CONTRIBUTORS: Barbara Delmonte, 
Laboratoire de Glaciologie et de Geophysique de l'Environnement, 
BP 96, 38402 St Martin d'Heres Cedex, France.


IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-040


SUGGESTED DATA CITATION: Delmonte, B., et al. 2004.
EPICA Dome C Ice Cores Insoluble Dust Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2004-040.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: EPICA community members. 2004. 
Eight glacial cycles from an Antarctic ice core.
Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004.
doi:10.1038/nature02599.


ABSTRACT:
The Antarctic Vostok ice core provided compelling evidence of the nature of climate, 
and of climate feedbacks, over the past 420,000 years. Marine records suggest that 
the amplitude of climate variability was smaller before that time, but such records 
are often poorly resolved. Moreover, it is not possible to infer the abundance of 
greenhouse gases in the atmosphere from marine records. Here we report the recovery 
of a deepice core from Dome C, Antarctica, that provides a climate record for the 
past 740,000 years. For the four most recent glacial cycles, the data agree well 
with the record from Vostok. The earlier period, between 740,000 and 430,000 years 
ago, was characterized by less pronounced warmth in interglacial periods in Antarctica, 
but a higher proportion of each cycle was spent in the warm mode. The transition 
from glacial to interglacial conditions about 430,000 years ago (Termination V) 
resembles the transition into the present interglacial period in terms of the 
magnitude of change in temperatures and greenhouse gases, but there are significant 
differences in the patterns of change. The interglacial stage following Termination 
V was exceptionally long-28,000 years compared to, for example, the 12,000 years 
recorded so far in the present interglacial period. Given the similarities between 
this earlier warm period and today, our results may imply that without human 
intervention, a climate similar to the present one would extend well into the future.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  2 - 740 kyr BP


DESCRIPTION: 
Concentration of insoluble dust in the EPICA Dome C cores, 100-3138 m depth.

Dust concentration and size distribution were measured by a 256 channel 
CoulterCounter, set to register particles in the size range from 0.7-20 µm. 
In calculating mass concentrations, density was taken as 2500 kg m-3.  
Ages are given on timescale EDC2 (EPICA Community Members, Eight glacial 
cycles from an Antarctic ice core, Nature, 429 (6992), 623-628, 2004).




DATA:  
Col 1: Depth / m
Col 2: Age in years before 1950, EDC2 timescale
Col 3: Mass of dust in parts per billion (micrograms of dust per litre of meltwater)


     Depth/m        Age       Dust mass
      679.83       35877       55.14
      681.43       36010      247.19
      682.03       36059      155.43
      684.23       36244      171.82
      685.33       36333      147.61
      686.45       36424      416.59
      687.53       36513      219.07
      688.64       36604      103.45
      689.74       36697      133.53
      690.84       36792       76.86
      691.93       36881      131.05
      693.03       36966      194.96
      695.72       37178       60.55
      696.34       37226       73.19
      697.43       37310       74.25
      698.53       37393       65.57
      699.63       37473       19.93
      700.73       37550       87.47
      702.32       37660       232.8
      702.93       37703       28.42
      704.03       37785      115.63
      705.18       37876       43.16
      706.27       37958       43.87
      707.33       38036       54.75
     708.925       38152       45.52
      710.02       38233       76.87
     710.645       38280       35.65
      711.73       38359       81.13
      712.83       38440       33.03
      713.93       38526       65.06
      715.03       38609       98.51
      716.13       38688       83.26
      717.23       38773       60.91
      718.33       38858      131.73
     719.425       38946      256.42
      722.73       39230      243.45
     724.325       39375      260.88
      725.42       39473      309.94
      726.03       39528      266.69
      727.13       39622      262.56
      728.72       39754      204.55
      729.33       39807      275.23
      730.43       39907       244.9
      731.57       40008      192.98
      732.63       40097       84.41
      733.73       40195      266.95
      734.83       40301      187.87
     736.425       40451       172.8
      737.03       40509         230
      738.13       40613      119.62
      739.72       40756         250
     740.335       40809      101.12
      741.43       40901       124.5
     743.015       41039      215.14
     743.645       41095      182.32
     744.745       41189      126.62
      745.84       41286      295.23
      747.42       41432      129.77
      748.03       41490      315.81
      750.23       41700      190.77
      751.33       41802      223.69
      752.92       41948      158.01
      753.53       42001      315.73
      754.66       42095      205.48
      755.73       42181      204.38
      757.32       42311       114.2
      757.93       42363      161.24
      759.03       42452       55.76
      760.13       42541      156.95
      761.23       42634       39.79
      762.33       42727       80.44
     763.425       42821      164.95
      764.53       42921      172.82
     765.655       43026      133.28
      766.75       43125      172.25
      767.83       43225      123.33
      768.93       43330      186.14
      770.05       43430      207.39
      771.17       43531      291.27
       771.6       43570      181.22
      772.23       43625      262.26
      773.33       43715      302.89
      774.44       43810      256.91
     776.015       43945      136.75
      776.12       43954       70.85
      778.85       44187      121.96
      780.42       44317      101.15
      781.05       44369      133.02
     781.605       44415        61.5
      782.13       44459       80.49
      783.72       44587      109.26
      784.33       44635      122.12
      785.49       44725       78.54
      786.59       44808       83.92
     787.565       44882      116.58
      793.06       45278       56.37
     798.565       45676      208.42
     804.065       46063       41.75
     809.085       46442       94.97
     814.585       46874       62.89
     820.085       47345      255.84
     826.615       47895      156.24
     831.565       48317      182.85
     837.135       48786      277.18
     842.565       49237      200.41
     848.065       49689       93.12
     853.085       50108      162.04
     858.585       50554      133.16
     864.085       50974       73.42
     869.585       51406      163.86
     875.085       51825       57.68
      880.58       52219       39.65
      886.08       52648      127.28
      891.58       53081       62.41
