EPICA Dome C Ice Core nss-Ca and Na Data
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: EPICA Dome C Ice Core nss-Ca and Na Data
LAST UPDATE: 6/2005 (Original Receipt by WDC Paleo)

CONTRIBUTORS: Regine Röthlisberger et al., Climate and Environmental Physics, 
University of Bern, Bern, Switzerland

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-046

SUGGESTED DATA CITATION: Röthlisberger, R. et al., 2005.
EPICA Dome C Ice Core nss-Ca and Na Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2005-046. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 

ORIGINAL REFERENCES:  
Röthlisberger, R., M. Bigler, E.W. Wolff, F. Joos, E. Monnin, 
and M.A. Hutterli. 2004. Ice core evidence for the extent of past 
atmospheric CO2 change due to iron fertilisation.
Geophys. Res. Lett., 31, L16207, doi: 10.1029/2004GL020338. 

Röthlisberger, R., R. Mulvaney, E.W. Wolff, M.A. Hutterli, M. Bigler, 
S. Sommer, and J. Jouzel. 2002. 
Dust and sea-salt variability in central East Antarctica (Dome C) over 
the last 45 kyrs and its implications for southern high-latitude climate. 
Geophys. Res. Lett., 29 (20), 1963, doi:10.1029/2002GL015186.

ADDITIONAL REFERENCES (for methods, isotopes, and dating):
Röthlisberger, R., M. Bigler, M. Hutterli, S. Sommer, B. Stauffer, 
H.G. Junghans, and D. Wagenbach  2000.  
Technique for continuous high-resolution analysis of trace substances 
in firn and ice cores.  Environ. Sci. Technol., 34 (2), 338-342. 

Jouzel, J., V. Masson, O. Cattani, S. Falourd, M. Stievenard, B. Stenni, 
A. Longinelli, S.J. Johnsen, J.P. Steffensen, J.R. Petit, J. Schwander, 
R. Souchez, and N.I. Barkov. 2001. 
A new 27 ky high resolution East Antarctic climate record. 
Geophys. Res. Lett., 28 (16), 3199-3202.
 
Stenni, B., J. Jouzel, V. Masson-Delmotte, R. Röthlisberger, E. Castellano, 
O. Cattani, S. Falourd, S.J. Johnsen, A. Longinelli, J.P. Sachs, E. Selmo, 
R. Souchez, J.P. Steffensen, and R. Udisti. 2003. 
A late-glacial high resolution site and source temperature record derived from 
the EPICA Dome C isotope records (East Antarctica). 
Earth Planet. Sci. Lett., 217 (1-2), 183-195, doi:10.1016/S0012-821X(03)00574-0.
 
Schwander, J., J. Jouzel, C.U. Hammer, J.R. Petit, R. Udisti, and E. Wolff. 2001. 
A tentative chronology for the EPICA Dome Concordia ice core.  
Geophys. Res. Lett., 28 (22), 4243-4246.  
 
EPICA community members. 2004. Eight glacial cycles from an Antarctic ice core. 
Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004. doi:10.1038/nature02599. 


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  62KYrBP - present

DESCRIPTION: 
Chemical records of Calcium and Sodium obtained by continuous flow analysis. 
High-resoution data have been averaged to 50-yr. Non-Sea Salt Ca (nss-Ca) 
is calculated as total Ca minus 0.038*Na. 
 
Data from 0 to 44850 yr BP are from EDC96 ice core, those from 43350 to 62000 
yr BP from EDC99 ice core.
 
Dating according to EPICA Dome C ice core timescales EDC1 and EDC2: 
ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc_timescale.txt 

Location: Dome C, Antarctica, 75°06'S, 123°21'E, 3233m asl


Data: 
1. Core EDC96

Column 1: Age (years before 1950, EDC1 timescale)
Column 2: nss-Ca flux (ng/cm2/yr)
Column 3: Na flux (ng/cm2/yr)
Column 4: delta deuterium (per mil)
 
  Age      nss-Ca         Na         deltaD
 9675     1.680203       45.222    -391.822449
 9725      1.56807      47.4898    -393.753479
 9775      1.57503      52.3184     -392.36441
 9825     1.355858      45.8171    -389.901276
 9875     0.960192      56.8908    -392.198792
 9925     0.627716      50.7063    -387.099274
 9975     1.011557      52.5502    -390.909973
10025     0.928066      45.2217    -394.961853
10075     0.953323      40.0399    -390.065125
10125     1.586979      44.8641    -393.890747
10175     1.092646      45.9101    -394.915161
10225     1.906262      37.6978    -391.824524
10275     1.239791       42.847    -386.426788
10325     1.571099      41.6935    -388.223877
10375     1.652349      46.2374    -393.439453
10425     1.110852       44.304    -392.281921
10475     0.930692      35.7916     -391.16864
10525     0.828374      42.6085    -395.772278
10575     1.347353      39.4664    -392.064728
10625     1.439488      44.1066    -392.441254
10675     3.444323      56.5138     -392.63324
10725     1.379913      41.7694    -395.084869
10775     1.295883      43.5654    -391.689392
10825     1.434117      46.6805    -390.049683
10875     0.795851      35.5521    -395.285919
10925      1.07036      49.7011    -397.171234
10975     0.908179      40.2349    -387.869598
11025     0.624138      45.3547    -393.186554
11075     2.149333      40.6935    -393.066132
11125     1.740609       39.967    -385.448792
11175     1.998803      46.7646    -396.417694
11225     1.986299      43.4758    -391.695923
11275     2.194424      34.7578     -385.99408
11325     1.539737      44.5062    -391.749573
11375     2.236277      47.6034    -395.090363
11425     2.961523      46.8285    -392.772034
11475     2.608268      46.4362    -391.304199
11525     1.951124      45.4015     -392.49823
11575     2.500745      36.7186    -391.450073
11625     2.320617      67.7775    -400.075104
11675     2.352322      45.7097    -400.079926
11725     1.711682      68.3962     -400.59436
11775     1.702616      57.3987    -403.017029
11825     2.588285      63.0261    -399.506256
11875     2.269476      68.9542    -404.100708
11925     1.891242      68.7781    -408.584991
11975     1.633795      72.4006    -407.248688
12025      1.58709      61.1614    -407.226929
12075      2.36816      55.3335    -404.475159
12125     1.382084       52.283    -407.070953
12175      2.30761      63.8041    -412.217773
12225     2.584131      66.0352    -412.571167
12275      2.35535      67.2279    -406.905914
12325     2.254953      72.5815    -412.239471
12375       2.9294      76.0108    -416.643005
12425     2.864633      75.8102    -418.023529
12475     4.298129       77.368    -416.998962
12525     4.054843      67.4951    -413.169708
12575     3.490685       64.706    -413.832153
12625     3.699321      75.2193     -419.42868
12675     3.007214      78.6628    -414.384155
12725     2.700063       77.756    -411.472992
12775     2.590395      74.6521    -415.859406
12825      3.89512      75.9648     -415.66275
12875     3.499594      72.3243    -411.338318
12925     3.792095       80.795    -415.842133
12975     3.932575      62.3419    -415.346069
13025     3.039883      71.1316    -409.877289
13075     3.621098      81.6155    -412.579315
13125     3.973835      61.8588    -409.000031
13175     2.263597      98.4316    -412.226563
13225     2.342753       99.373    -417.686951
13275     2.938423      95.3654    -415.357574
13325     2.280428      87.1689    -411.388214
13375     2.049976      92.4041    -409.240387
13425      2.10708      103.194    -413.075592
13475     2.680578      99.6009    -416.852997
13525     3.126062      82.8436    -416.052643
13575     2.757711      96.3907    -413.992432
13625     4.646999      78.5541    -409.751953
13675     2.837618        100.2     -411.50116
13725     3.905653      96.1512    -412.974609
13775     5.672641      80.1853    -411.763489
13825     5.451039      75.2492    -404.630585
13875     4.700902      75.3734    -404.904266
13925      4.61705      87.5996    -410.610229
13975     4.152037      76.8631    -409.545471
14025     3.854414      66.9649    -403.725891
14075     3.844311      80.4231    -407.927246
14125     4.709762      49.5363    -396.695007
14175     3.564399      81.7186    -400.133148
14225     3.673874      83.0379    -402.246887
14275     4.181637       92.519    -406.839874
14325     3.160883      91.3028    -409.556488
14375      4.27538      79.4977    -408.185272
14425     2.519496      94.0273    -409.398773
14475     5.390973       93.643    -412.148621
14525     4.611619      80.8409    -416.398407
14575     5.351773      72.0104    -413.452087
14625     5.909751      79.8403    -414.300812
