EPICA Dome C Core EDC96 Dielectric Profiling Data 
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!

NAME OF DATA SET: EPICA Dome C Core EDC96 Dielectric Profiling Data 
LAST UPDATE: 3/2003 (Original Receipt by WDC Paleo)

CONTRIBUTOR: Eric W. Wolff, British Antarctic Survey

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2003-011

SUGGESTED DATA CITATION: Wolff, E.W., et al., 2003,
EPICA Dome C Core EDC96 Dielectric Profiling Data, 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2003-011. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCES: 
Wolff, E.W., Basile, I., Petit, J.-R. and Schwander, J., 1999, 
Comparison of Holocene electrical records from Dome C and Vostok, 
Antarctica. Ann. Glaciol., 29:89-93. 

Schwander, J., Jouzel, J., Hammer, C.U., Petit, J.-R., Udisti, R. 
and Wolff, E.W., 2001, A tentative chronology for the EPICA Dome 
Concordia ice core. Geophys. Res. Lett., 28:4243-4246.


GEOGRAPHIC REGION: Antarctica
PERIOD OF RECORD:  45 - 0 KYrBP 



DESCRIPTION: 
Dielectric profiling data from the EDC96 EPICA Dome C core. 
Data are presented in 1m. resolution.
Timescale information is included.
Please see file edc96_dep.txt for 2 cm. resolution data.


DATA:
1.
Dielectric profiling data from the EDC96 EPICA Dome C core. 
The data are at 1 m average. 
Depths are according to the core processing log (m), 
ages according to timescale EDC1 (0 BP= 1.1.1950)
and conductivity at 100 kHz, corrected to -15 deg C (S/m). 


Depth   Depth      Age    Age         DEP condy
Top(m.) Bottom     Top   Bottom(yrBP)   S/m

  206     207     6104    6140        1.23E-05
  207     208     6140    6177        1.26E-05
  208     209     6177    6214        1.52E-05
  209     210     6214    6251        1.47E-05
  210     211     6251    6288        1.26E-05
  211     212     6288    6326        1.25E-05
  212     213     6326    6363        1.21E-05
  213     214     6363    6400        1.38E-05
  214     215     6400    6437        1.36E-05
  215     216     6437    6475        1.79E-05
  216     217     6475    6513        1.46E-05
  217     218     6513    6551        1.17E-05
  218     219     6551    6589        1.32E-05
  219     220     6589    6627        1.38E-05
  220     221     6627    6664        1.25E-05
  221     222     6664    6702        1.22E-05
  222     223     6702    6740        1.13E-05
  223     224     6740    6777        1.29E-05
  224     225     6777    6814        1.21E-05
  225     226     6814    6851        1.16E-05
  226     227     6851    6888        1.15E-05
  227     228     6888    6926        1.15E-05
  228     229     6926    6964        1.15E-05
  229     230     6964    7002        1.17E-05
  230     231     7002    7041        1.19E-05
  231     232     7041    7081        1.15E-05
  232     233     7081    7121        1.32E-05
  233     234     7121    7161        1.11E-05
  234     235     7161    7199        1.77E-05
  235     236     7199    7234        1.32E-05
  236     237     7234    7269        1.21E-05
  237     238     7269    7304        1.18E-05
  238     239     7304    7339        1.21E-05
  239     240     7339    7374        1.21E-05
  240     241     7374    7409        1.32E-05
  241     242     7409    7443        1.20E-05
  242     243     7443    7477        1.27E-05
  243     244     7477    7510        1.73E-05
  244     245     7510    7544        1.18E-05
  245     246     7544    7577        1.17E-05
  246     247     7577    7611        1.17E-05
  247     248     7611    7644        1.25E-05
  248     249     7644    7678        1.24E-05
  249     250     7678    7711        1.49E-05
  250     251     7711    7745        1.32E-05
  251     252     7745    7780        1.45E-05
  252     253     7780    7814        1.24E-05
  253     254     7814    7848        1.24E-05
  254     255     7848    7884        1.28E-05
  255     256     7884    7919        1.12E-05
  256     257     7919    7955        1.29E-05
  257     258     7955    7991        1.16E-05
  258     259     7991    8028        1.17E-05
  259     260     8028    8064        1.43E-05
  260     261     8064    8101        1.27E-05
  261     262     8101    8137        1.16E-05
  262     263     8137    8173        1.25E-05
  263     264     8173    8209        1.29E-05
  264     265     8209    8245        1.44E-05
  265     266     8245    8280        1.26E-05
