Depth (mcd)	Age (ka)	Cw d13C	Cw d18O
49.34	366.15	0.87	3.49
49.37	366.32	0.35	3.64
49.42	366.67	0.66	3.51
49.47	367.01	0.83	3.57
49.52	367.35	0.76	3.40
49.54	367.52	0.86	3.44
49.59	367.83	0.64	3.40
49.62	368.08	0.58	3.48
49.67	368.92	0.50	3.37
49.72	369.75	0.84	3.67
49.74	370.17	-0.10	3.57
49.77	370.58	0.74	3.68
49.79	370.92	0.63	3.62
49.82	371.42	0.43	3.75
49.89	372.58	0.61	3.71
49.94	373.42	0.62	3.73
49.99	374.25	0.51	3.68
50.01	374.67	0.25	3.71
50.04	375.08	0.24	3.70
50.06	375.42	0.30	3.60
50.09	375.92	0.50	3.68
50.19	376.78	0.25	3.62
50.21	376.99	-0.06	3.51
50.29	377.61	0.41	3.58
50.34	378.02	0.42	3.55
50.39	378.44	0.50	3.45
50.41	378.64	0.78	3.47
50.44	378.85	0.20	3.43
50.49	379.26	0.35	3.32
50.54	379.68	0.50	3.21
50.59	380.09	0.47	3.30
50.61	380.30	0.13	3.37
50.64	380.50	0.69	3.21
50.66	380.67	0.34	3.21
50.69	380.92	0.38	3.21
50.79	381.74	0.37	3.55
50.81	381.95	-0.19	3.63
50.84	382.16	0.37	3.68
50.86	382.36	-0.11	3.58
50.89	382.57	0.86	3.46
50.91	382.77	0.40	3.25
50.94	382.98	0.78	3.46
50.96	383.15	0.55	3.42
50.99	383.39	0.68	3.19
51.11	384.43	0.51	3.26
51.14	384.63	0.98	3.22
51.16	384.80	1.00	3.21
51.31	386.08	0.58	3.18
51.36	386.45	0.24	3.15
51.39	386.70	0.59	3.22
51.44	387.11	0.92	2.95
51.51	387.73	0.88	3.02
51.56	388.10	0.56	3.08
51.59	388.35	0.63	2.97
51.64	388.76	0.83	3.22
51.69	389.18	0.38	3.15
51.71	389.38	0.90	3.04
51.74	389.59	0.73	2.96
51.76	389.76	0.89	3.06
51.91	391.04	0.89	3.04
51.99	391.66	1.06	2.86
52.11	392.69	1.06	2.85
52.16	393.06	0.69	2.79
52.19	393.31	0.50	2.89
52.31	394.34	1.13	2.79
52.34	394.55	0.87	3.10
52.36	394.75	0.96	2.78
52.39	394.96	0.76	2.67
52.41	395.17	1.10	2.90
52.44	395.37	1.10	2.68
52.54	396.20	0.98	2.69
52.61	396.82	0.86	2.81
52.66	397.19	1.06	2.66
52.74	397.85	1.17	2.64
52.79	398.27	0.47	2.61
52.81	398.47	1.04	2.63
52.84	398.68	1.10	2.37
52.86	398.84	0.96	2.62
52.89	399.09	1.10	2.56
52.99	399.92	1.13	2.62
53.01	400.13	0.88	2.55
53.04	400.33	1.02	2.52
53.06	400.50	1.12	2.71
53.09	400.75	1.09	2.40
53.14	401.16	1.11	2.66
53.19	401.57	1.04	2.59
53.21	401.78	1.24	2.60
53.24	401.98	1.14	2.50
53.26	402.15	0.97	2.64
53.29	402.40	0.99	2.52
53.34	402.81	0.95	2.53
53.39	403.22	1.16	2.56
53.41	403.43	1.04	2.57
53.44	403.64	0.94	2.62
53.46	403.80	1.04	2.63
53.49	404.05	1.19	2.53
53.54	404.46	1.18	2.60
53.61	405.07	1.05	2.64
53.66	405.36	1.16	2.52
53.69	405.56	1.17	2.55
53.79	406.22	1.12	2.74
53.81	406.39	0.88	2.63
53.84	406.55	0.54	2.92
53.86	406.72	1.00	3.06
53.89	406.88	1.10	2.68
53.91	407.05	1.24	2.71
53.94	407.21	0.98	2.80
53.96	407.35	0.80	2.80
53.99	407.54	1.03	2.72
54.04	407.87	0.71	2.64
54.09	408.20	0.70	2.68
54.11	408.37	0.79	2.56
54.14	408.53	1.05	2.72
54.16	408.67	0.77	2.73
54.19	408.86	0.68	2.62
54.24	409.19	1.03	2.63
54.31	409.69	0.92	2.80
54.34	409.86	0.76	2.75
54.36	409.99	0.77	2.82
54.39	410.19	1.08	2.76
