# NOAA Paleoclimatology Program - Paleocean Site Data
# odp980_isot-fwc.txt
# Isotope data only
# File Created: 10-May-2006
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Benjamin P. Flower
# Core/Site:      ODP980
# Latitude:       55.29.06N	( 55.485)
# Longitude:      14.42.06W	( -14.70167)
# Water Depth(m): 2168
#
# Publications:
#   Flower, B.P., D.W. Oppo, J.F. McManus, K.A. Venz, D.A. Hodell, and J.L. Cullen.
#     2000. North Atlantic intermediate to deep water circulation and chemical stratification
#     during the past 1 Myr. Paleoceanography 15(4):388-403.
#   Oppo, D.W., J.F. McManus, and J.L. Cullen. 1998. Abrupt climate events 500,000-340,000
#     years ago: Evidence from subpolar North Atlantic sediments.
#     Science 279:1335-1338.
#   McManus, J.F., D.W. Oppo, and J.L. Cullen. 1999. A 0.5 million year record of
#     millennial-scale climate variability in the North Atlantic. Science 283:971-975.
#------------------
#
# Description & Notes:
#   North Atlantic intermediate-deep water circulation during the past 1 Ma.
#   
#
# ODP980 C14 Dates
# 
#   calyrBP   calendar years B.P. (B.P. = 1950)
# 
#  Depth      calyrBP       Error+        Error-            Material    Lab Num.    Notes
#  0.5         636           25            25           G. bulloides          OS-34407            1H-01, 0-1 cm
#  1           711           35            35           N. pachyderma (r.)          OS-27541      1H-01, 0-2cm
#  1.5         895           35            35           G. bulloides          OS-34422            1H-01, 2-3 cm
#  6           636           30            30           N. pachyderma (r.)          OS-26146      1H-01, 5-7cm
#  36          1266          55            55           N. pachyderma (r.)          OS-26148      1H-01, 35-37cm
#  57.5        2847          30            30           N. pachyderma (r.)          OS-34414      1H-01, 57-58 cm
#  66          2708          35            35           N. pachyderma (r.)          OS-26149      1H-01, 65-67cm
#  74.5        3135          35            35           G. bulloides          OS-34409            1H-01, 74-75 cm
#  86          3571          40            40           N. pachyderma (r.)          OS-27542      1H-01, 85-87cm
#  104.5       4685          25            25           G. bulloides          OS-34408            1H-01, 104-105 cm
#  116         5240          50            50           G. bulloides          OS-27543            1H-01, 115-117cm
#  136         6672          65            65           N. pachyderma (r.)          OS-26151      1H-01, 135-137cm
#  161.5       7672          70            70           G. bulloides          OS-34411            1H-02, 11-12 cm
#  171         8013          50            50           N. pachyderma (r.)          OS-26147      1H-02, 20-22cm
#  196         9189          45            45           G. bulloides          OS-34415            1H-02, 45-47 cm
#  216         10307         45            45           G. bulloides          OS-34416            1H-02, 65-67 cm
#  231         10303         50            50           N. pachyderma (r.)          OS-26150      1H-02, 80-82cm
#  249.5       10471         70            70           G. bulloides          OS-34410            1H-02, 99-100 cm
#  296         12541         55            55           G. bulloides          OS-34417            1H-02, 145-147 cm
# 
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP980
depth         yrBP          d13Cc.wuell   d18Oc.wuell   
 2552          200560        0.82          2.9          
 2572          205000        1             3.17         
 2632          209220        0.76          2.94         
 2672          212030        1.05          3.06         
 2677          212380        0.75          2.92         
 2682          212730        0.97          2.96         
 2702          214130        0.57          2.96         
 2722          215540        0.75          2.77         
 2742          217910        0.34          2.93         
 2782          222660        0             3.61         
 2802          225030        0.53          4.12         
 2822          227410        0.16          3.71         
 2827          227940        0.75          3.89         
 2827          227940        0.79          3.83         
 2832          228310        0.24          3.81         
 2852          229560        0.39          3.73         
 2872          230810        0.45          3.88         
 2902          232690        0.96          3.56         
 2912          233310        0.92          3.84         
 2922          233940        0.9           3.43         
 2932          234560        0.81          3            
 2942          235190        0.81          3.16         
 2962          236440        0.44          3.03         
 2972          237060        0.7           2.98         
 2977          237380        0.85          3.04         
 2982          237690        0.91          2.92         
 2992          238310        0.95          2.81         
 3002          238940        0.89          2.91         
 3012          239560        0.82          2.82         
 3022          240190        0.72          2.73         
 3032          240930        0.9           2.83         
 3042          241670        0.1           2.78         
 3052          242410        0.48          2.67         
 3072          243890        0.01          2.56         
 3082          244630        0.58          3.65         
 3092          245370        0.38          3.74         
 3127          247970        0.24          3.74         
 3132          248340        0.1           4            
 3142          249080        0.43          3.69         
 3163          250630        0.97          3.75         
 3173          251370        0.53          4.02         
 3183          252110        0.59          4            
 3193          252850        0.59          4.06         
 3203          253600        0.4           4.08         
 3213          254340        0.18          4.17         
 3233          255820        0.45          4.11         
 3243          256560        0.78          4            
 3253          257300        0.2           4.07         
 3263          258040        0.81          3.51         
 3363          265450        0.54          4            
 3373          266190        0.36          3.97         
 3383          266930        0.36          3.95         
 3393          267670        0.39          3.9          
 3403          268410        0.24          3.87         
 3408          268780        0.38          3.65         
 3413          269150        0.34          3.78         
 3433          270630        0.49          3.93         
 3468          273220        0.45          3.6          
 3508          275690        0.48          4.04         
 3548          277410        0.19          3.96         
 3568          278270        0.24          3.86         
 3573          278480        0.28          3.73         
 3578          278700       -0.01          3.58         
 3598          279550       -0.35          3.8          
 3618          280410        0.36          3.88         
 3638          281270        0.6           3.86         
 3658          282130        0.42          3.78         
 3678          282990        0.91          3.43         
 3698          283850        1.02          3.54         
 3718          284710        0.97          3.38         
 3723          284930        0.79          3.43         
 3728          285140        0.61          3.25         
 3748          286000        0.71          3.33         
 3768          288200        0.94          3.29         
 3788          290400        0.61          3.23         
 3808          292600        0.2           3.58         
 3828          294800        0.47          3.53         
 3848          297000        0.21          4.09         
 3868          299100        0.28          3.92         
 3873          299620        0.51          3.86         
 3878          300150        0.36          3.9          
 3898          302250        0.7           3.84         
 3918          304350        0.31          3.73         
 3938          306450        0.88          3.52         
 3958          308550        0.79          3.52         
 3978          310650        0.68          3.43         
 3998          312750        0.18          3.44         
 4018          314850        0.43          3.29         
 4023          315380        0.73          3.32         
 4028          315900        0.74          3.24         
 4048          318000        0.36          3.48         
 4068          318660        0.92          3.6          
 4088          319320        0.9           3.53         
 4108          319990        0.9           3.45         
 4128          320650        0.78          3.24         
 4141          321080        0.83          3.16         
 4161          321740        0.46          3.05         
