mcd	c13(o/oo PDB)	o18(o/oo PDB)	species
29.09	0.78	3.27	C. wuellerstorfi
29.13	0.54	3.36	C. wuellerstorfi
29.19	0.12	3.21	C. spp.
29.23	0.52	3.38	C. wuellerstorfi
29.29	0.47	3.33	C. wuellerstorfi
29.33	0.12	3.34	C. wuellerstorfi
29.39	0.33	3.39	C. wuellerstorfi
29.43	0.28	3.39	C. wuellerstorfi
29.49	0.18	3.31	C. wuellerstorfi
29.53	0.38	3.36	C. wuellerstorfi
29.59	0.38	3.34	C. spp.
29.63	-0.39	3.65	C. wuellerstorfi
29.69	-0.30	3.74	C. spp.
29.73	-0.35	3.88	C. wuellerstorfi
29.73	-0.38	3.89	C. wuellerstorfi
29.79	-0.10	3.70	C. wuellerstorfi
29.83	-0.43	3.73	C. wuellerstorfi
29.89	-0.28	3.55	C. spp.
29.93	-0.76	3.63	C. wuellerstorfi
29.99	-0.19	3.57	C. wuellerstorfi
30.03	-0.30	3.59	C. wuellerstorfi
30.09	-0.86	3.52	C. wuellerstorfi
30.13	-0.84	3.71	C. wuellerstorfi
30.19	-0.26	3.45	C. wuellerstorfi
30.23	-1.05	3.43	C. wuellerstorfi
30.29	-1.02	3.27	C. spp.
30.33	-0.24	3.40	C. wuellerstorfi
30.39	0.28	3.24	C. wuellerstorfi
30.43	0.20	3.09	C. spp.
30.49	0.00	3.14	C. spp.
30.59	0.70	2.64	C. wuellerstorfi
30.63	0.75	2.84	C. wuellerstorfi
30.69	0.70	2.82	C. wuellerstorfi
30.73	0.80	2.71	C. wuellerstorfi
30.79	0.55	2.51	C. wuellerstorfi
30.83	0.55	2.72	C. wuellerstorfi
30.89	0.35	2.77	C. wuellerstorfi
31.29	-0.08	3.23	N. umbonifera
31.59	0.27	3.10	N. umbonifera
31.69	-0.16	3.48	C. wuellerstorfi
31.79	-0.14	3.41	C. wuellerstorfi
31.89	0.10	3.25	C. wuellerstorfi
31.99	0.61	3.06	C. wuellerstorfi
32.03	0.06	3.04	C. wuellerstorfi
32.09	0.41	2.98	C. wuellerstorfi
32.13	-0.02	3.06	C. wuellerstorfi
32.19	0.41	2.90	C. wuellerstorfi
32.23	0.30	3.12	C. wuellerstorfi
32.29	-0.21	3.05	C. wuellerstorfi
32.38	0.50	3.08	C. wuellerstorfi
32.43	0.02	3.27	C. wuellerstorfi
32.48	0.60	2.93	C. spp.
32.68	0.23	3.01	C. wuellerstorfi
32.79	-0.15	2.98	C. wuellerstorfi
32.89	0.55	2.76	C. wuellerstorfi
32.99	-0.07	3.01	C. wuellerstorfi
33.08	-0.02	3.04	C. wuellerstorfi
33.18	0.53	2.53	C. wuellerstorfi
33.28	-0.70	3.70	C. wuellerstorfi
33.48	-1.10	4.21	N. umbonifera
33.58	-0.59	3.85	C. wuellerstorfi
33.68	-0.75	3.88	C. wuellerstorfi
33.78	-0.47	3.75	C. wuellerstorfi
33.88	-0.84	3.97	N. umbonifera
34.08	-0.34	3.83	N. umbonifera
34.18	0.37	3.64	C. spp.
34.28	0.32	3.55	C. wuellerstorfi
34.28	0.52	3.34	C. spp.
34.38	0.42	3.30	C. spp.
34.49	0.54	3.25	C. wuellerstorfi
34.59	0.37	3.23	C. wuellerstorfi
34.69	0.43	3.16	C. wuellerstorfi
34.79	-0.34	3.39	C. wuellerstorfi
34.89	-0.71	3.75	C. wuellerstorfi
34.93	-0.57	3.71	C. wuellerstorfi
34.99	-0.68	3.60	C. wuellerstorfi
35.03	0.19	3.69	C. wuellerstorfi
35.09	-0.42	3.54	C. wuellerstorfi
35.13	0.44	3.22	C. wuellerstorfi
35.13	-0.03	3.82	N. umbonifera
35.19	-0.60	3.10	C. wuellerstorfi
35.29	0.29	3.19	C. spp.
35.33	0.39	3.22	C. wuellerstorfi
35.39	0.30	2.88	C. wuellerstorfi
35.43	-0.26	3.06	C. wuellerstorfi
35.49	0.22	2.86	C. wuellerstorfi
35.59	0.14	2.87	C. wuellerstorfi
35.63	0.73	2.70	C. wuellerstorfi
35.69	0.82	2.61	C. wuellerstorfi
35.73	0.70	2.57	C. wuellerstorfi
35.73	0.70	2.59	C. wuellerstorfi
35.79	0.47	2.46	C. wuellerstorfi
35.83	0.46	2.54	C. wuellerstorfi
35.89	0.83	2.43	C. wuellerstorfi
35.99	0.07	2.85	C. wuellerstorfi
36.09	0.27	3.64	C. wuellerstorfi
36.13	0.01	3.56	C. wuellerstorfi
36.19	0.24	3.36	C. wuellerstorfi
36.23	0.06	3.21	C. wuellerstorfi
36.29	0.75	3.12	C. wuellerstorfi
36.33	0.14	3.36	C. wuellerstorfi
36.39	0.44	3.16	C. wuellerstorfi
36.43	0.58	2.77	C. wuellerstorfi
36.49	0.21	2.88	C. wuellerstorfi
36.59	-0.27	3.22	N. umbonifera
36.63	0.12	3.07	C. wuellerstorfi
36.69	0.44	3.20	C. spp.
36.79	0.04	3.52	N. umbonifera
36.83	0.36	3.28	C. wuellerstorfi
36.89	0.45	3.05	C. wuellerstorfi
36.99	0.60	3.00	C. wuellerstorfi
37.03	0.48	3.00	C. wuellerstorfi
37.09	0.37	2.98	C. wuellerstorfi
37.13	0.52	3.06	C. wuellerstorfi
37.13	0.61	3.10	C. wuellerstorfi
37.19	0.04	3.29	N. umbonifera
37.29	0.31	3.01	C. wuellerstorfi
37.39	0.40	3.15	C. wuellerstorfi
37.49	0.81	3.12	C. spp.
37.59	0.38	2.78	C. wuellerstorfi
37.69	0.68	2.76	C. wuellerstorfi
