ODP 1143  (Leg 184)			 	Scientific Results. Volume 184						
 LATITUDE: 9.3619 				X. Cheng. J. Tian. and P. Wang. Ms 184-221						
LONGITUDE: 113.2851				Table T2. Oxygen and carbon isotope data for benthic foraminifers. Site 1143.						
ELEVATION: -2772.3 m 										
										
Notes: C.wuellerstorfi = Cibicidoides wuellerstorfi. U.peregrina = Uvigerina peregrina. d13C and d18O given in reference to Peedee belemnite standard. * = adjustment factor as per Shackleton et al. (1995).										
										
Core.section. interval(cm)	Depth(mbsf)	Depth(mcd)	Age(ka)	Species	d13C(raw)	d13C_adjustment.factor	d18O(raw)	d18O_adjustment.factor	d13C(final)	d18O(final)
12H-3. 22-24	103.62	111.08	2410.11	C.wuellerstorfi	-0.038	0	3.024	0.64	-0.038	3.664
12H-3. 42-44	103.82	111.28	2419.81	C.wuellerstorfi	0.032	0	2.631	0.64	0.032	3.271
12H-3. 52-54	103.92	111.38	2428.6	C.wuellerstorfi	0.07	0	2.896	0.64	0.07	3.536
12H-3. 102-104	104.42	111.88	2434.9	C.wuellerstorfi	-0.195	0	2.584	0.64	-0.195	3.224
12H-3. 112-114	104.52	111.98	2435.96	C.wuellerstorfi	0.022	0	2.79	0.64	0.022	3.43
12H-3. 132-134	104.72	112.18	2438.08	C.wuellerstorfi	-0.73	0	3.101	0.64	-0.73	3.741
12H-3. 142-144	104.82	112.28	2439.14	U.peregrina	-1.071	0.9	3.912	0	-0.171	3.912
12H-4. 2-4	104.92	112.38	2440.2	U.peregrina	-1.236	0.9	4.058	0	-0.336	4.058
12H-4. 12-14	105.02	112.48	2441.26	U.peregrina	-1.325	0.9	4.005	0	-0.425	4.005
12H-4. 22-24	105.12	112.58	2442.99	U.peregrina	-1.126	0.9	4.213	0	-0.226	4.213
12H-4. 34-36	105.24	112.7	2446.28	U.peregrina	-1.246	0.9	3.949	0	-0.346	3.949
12H-4. 42-44	105.32	112.78	2448.46	U.peregrina	-1.235	0.9	3.985	0	-0.335	3.985
12H-4. 52-54	105.42	112.88	2451.28	U.peregrina	-1.096	0.9	4.397	0	-0.196	4.397
12H-4. 62-64	105.52	112.98	2454.22	U.peregrina	-1.106	0.9	4.033	0	-0.206	4.033
12H-4. 72-74	105.62	113.08	2457.24	U.peregrina	-1.253	0.9	3.824	0	-0.353	3.824
12H-4. 82-84	105.72	113.18	2460.27	U.peregrina	-1.197	0.9	3.616	0	-0.297	3.616
12H-4. 92-94	105.82	113.28	2463.29	U.peregrina	-1.143	0.9	3.79	0	-0.243	3.79
12H-4. 112-114	106.02	113.48	2469.34	C.wuellerstorfi	-0.091	0	2.927	0.64	-0.091	3.567
12H-4. 122-124	106.12	113.58	2472.37	C.wuellerstorfi	-0.051	0	2.585	0.64	-0.051	3.225
12H-4. 132-134	106.22	113.68	2475.4	C.wuellerstorfi	0.002	0	2.531	0.64	0.002	3.171
12H-5. 0-2	106.4	113.86	2477.43	C.wuellerstorfi	-0.181	0	2.653	0.64	-0.181	3.293
12H-5. 10-12	106.5	113.96	2478.56	U.peregrina	-0.971	0.9	3.793	0	-0.071	3.793
12H-5. 20-22	106.6	114.06	2479.68	C.wuellerstorfi	0.401	0	2.954	0.64	0.401	3.594
13H-1. 100-102	110.9	118.7	2555.09	U.peregrina	-1.261	0.9	3.528	0	-0.361	3.528
13H-1. 110-112	111	118.8	2556.73	U.peregrina	-0.93	0.9	3.547	0	-0.03	3.547
13H-1. 120-122	111.1	118.9	2558.36	U.peregrina	-0.956	0.9	3.51	0	-0.056	3.51
13H-1. 130-132	111.2	119	2560	U.peregrina	-1.277	0.9	3.152	0	-0.377	3.152
13H-2. 20-22	111.6	119.4	2569.9	C.wuellerstorfi	-0.445	0	2.598	0.64	-0.445	3.238
13H-2. 30-32	111.7	119.5	2573.37	C.wuellerstorfi	-0.093	0	2.666	0.64	-0.093	3.306
13H-2. 40-42	111.8	119.6	2576.84	U.peregrina	-0.553	0.9	3.25	0	0.347	3.25
13H-2. 60-62	112	119.8	2583.78	C.wuellerstorfi	-0.115	0	2.628	0.64	-0.115	3.268
13H-2. 80-82	112.2	120	2589.99	C.wuellerstorfi	-0.333	0	2.568	0.64	-0.333	3.208
13H-2. 90-92	112.3	120.1	2592.8	U.peregrina	-1.115	0.9	3.572	0	-0.215	3.572
13H-2. 100-102	112.4	120.2	2595.15	U.peregrina	-1.193	0.9	3.787	0	-0.293	3.787
13H-2. 110-112	112.5	120.3	2597.5	U.peregrina	-1.742	0.9	3.813	0	-0.842	3.813
13H-2. 120-122	112.6	120.4	2599.13	U.peregrina	-1.502	0.9	3.814	0	-0.602	3.814
13H-2. 130-132	112.7	120.5	2600.75	U.peregrina	-1.264	0.9	4.025	0	-0.364	4.025
13H-2. 140-142	112.8	120.6	2602.38	U.peregrina	-1.234	0.9	3.872	0	-0.334	3.872
13H-3. 0-2	112.9	120.7	2604	U.peregrina	-1.174	0.9	3.831	0	-0.274	3.831
13H-3. 10-12	113	120.8	2605.63	U.peregrina	-0.984	0.9	3.755	0	-0.084	3.755
13H-3. 20-22	113.1	120.9	2607.25	U.peregrina	-0.936	0.9	3.63	0	-0.036	3.63
13H-3. 30-32	113.2	121	2608.88	C.wuellerstorfi	-0.218	0	2.664	0.64	-0.218	3.304
13H-3. 40-42	113.3	121.1	2610.5	U.peregrina	-0.796	0.9	3.4	0	0.104	3.4
13H-3. 50-52	113.4	121.2	2612.67	U.peregrina	-0.969	0.9	3.221	0	-0.069	3.221
13H-3. 60-62	113.5	121.3	2614.83	U.peregrina	-0.513	0.9	3.309	0	0.387	3.309
13H-3. 70-72	113.6	121.4	2617	C.wuellerstorfi	-0.114	0	2.538	0.64	-0.114	3.178
13H-3. 80-82	113.7	121.5	2623	C.wuellerstorfi	-0.734	0	2.498	0.64	-0.734	3.138
13H-3. 90-92	113.8	121.6	2629	C.wuellerstorfi	-0.14	0	2.555	0.64	-0.14	3.195
13H-3. 100-102	113.9	121.7	2635	U.peregrina	-0.979	0.9	3.276	0	-0.079	3.276
13H-3. 110-112	114	121.8	2635.8	U.peregrina	-0.847	0.9	3.419	0	0.053	3.419
