ODP 1143  (Leg 184)			 	Scientific Results. Volume 184						
 LATITUDE: 9.3619 				X. Cheng. J. Tian. and P. Wang. Ms 184-221						
LONGITUDE: 113.2851				Table T2. Oxygen and carbon isotope data for benthic foraminifers. Site 1143.						
ELEVATION: -2772.3 m 										
										
Notes: C.wuellerstorfi = Cibicidoides wuellerstorfi. U.peregrina = Uvigerina peregrina. d13C and d18O given in reference to Peedee belemnite standard. * = adjustment factor as per Shackleton et al. (1995).										
										
Core.section. interval(cm)	Depth(mbsf)	Depth(mcd)	Age(ka)	Species	d13C(raw)	d13C_adjustment.factor	d18O(raw)	d18O_adjustment.factor	d13C(final)	d18O(final)
3H-6. 60-62	23	25.72	413.82	C.wuellerstorfi	-0.517	0	3.895	0.64	-0.517	4.535
3H-6. 70-72	23.1	25.82	414.66	C.wuellerstorfi	-0.545	0	4.41	0.64	-0.545	5.05
3H-6. 80-82	23.2	25.92	415.49	C.wuellerstorfi	-0.581	0	4.235	0.64	-0.581	4.875
3H-6. 90-92	23.3	26.02	416.33	C.wuellerstorfi	-0.494	0	4.459	0.64	-0.494	5.099
3H-6. 120-122	23.6	26.32	418.83	C.wuellerstorfi	-0.487	0	4.362	0.64	-0.487	5.002
3H-6. 140-142	23.8	26.52	420.5	C.wuellerstorfi	-0.461	0	4.196	0.64	-0.461	4.836
3H-7. 0-2	23.9	26.62	421.33	C.wuellerstorfi	-0.394	0	3.351	0.64	-0.394	3.991
5H-1. 60-62	34.5	38.74	713.22	C.wuellerstorfi	-0.07	0	3.027	0.64	-0.07	3.667
5H-1. 70-72	34.6	38.84	713.76	C.wuellerstorfi	-0.138	0	3.152	0.64	-0.138	3.792
5H-1. 80-82	34.7	38.94	714.3	C.wuellerstorfi	-0.166	0	3.102	0.64	-0.166	3.742
5H-1. 90-92	34.8	39.04	714.85	C.wuellerstorfi	-0.2	0	3.366	0.64	-0.2	4.006
5H-1. 100-102	34.9	39.14	715.39	C.wuellerstorfi	-0.207	0	3.478	0.64	-0.207	4.118
5H-1. 110-112	35	39.24	715.93	C.wuellerstorfi	-0.36	0	3.501	0.64	-0.36	4.141
5H-1. 120-122	35.1	39.34	716.47	C.wuellerstorfi	-1.176	0	2.124	0.64	-1.176	2.764
5H-1. 130-132	35.2	39.44	717.02	C.wuellerstorfi	-0.39	0	3.805	0.64	-0.39	4.445
5H-2. 0-2	35.4	39.64	718.1	C.wuellerstorfi	-0.727	0	3.77	0.64	-0.727	4.41
5H-2. 10-12	35.5	39.74	727.18	C.wuellerstorfi	-0.46	0	3.658	0.64	-0.46	4.298
5H-2. 20-22	35.6	39.84	736.26	C.wuellerstorfi	-0.517	0	3.63	0.64	-0.517	4.27
5H-2. 30-32	35.7	39.94	741.11	C.wuellerstorfi	-0.448	0	3.869	0.64	-0.448	4.509
5H-2. 40-42	35.8	40.04	741.74	U.peregrina	-0.813	0.9	4.376	0	0.087	4.376
5H-2. 50-52	35.9	40.14	742.37	C.wuellerstorfi	-0.218	0	3.778	0.64	-0.218	4.418
5H-2. 60-62	36	40.24	743	C.wuellerstorfi	-0.184	0	3.555	0.64	-0.184	4.195
5H-2. 70-72	36.1	40.34	744.9	C.wuellerstorfi	-0.253	0	3.3	0.64	-0.253	3.94
5H-2. 80-82	36.2	40.44	746.8	C.wuellerstorfi	-0.577	0	3.577	0.64	-0.577	4.217
5H-2. 90-92	36.3	40.54	751.33	C.wuellerstorfi	-0.584	0	3.814	0.64	-0.584	4.454
5H-2. 100-102	36.4	40.64	755.85	U.peregrina	-1.25	0.9	4.265	0	-0.35	4.265
5H-2. 110-112	36.5	40.74	760.38	C.wuellerstorfi	-0.503	0	3.667	0.64	-0.503	4.307
5H-2. 120-122	36.6	40.84	764.9	C.wuellerstorfi	-0.528	0	3.481	0.64	-0.528	4.121
5H-2. 130-132	36.7	40.94	765.8	U.peregrina	-1.341	0.9	4.346	0	-0.441	4.346
5H-2. 140-142	36.8	41.04	766.7	C.wuellerstorfi	-0.626	0	3.75	0.64	-0.626	4.39
5H-3. 0-2	36.9	41.14	767.6	U.peregrina	-1.069	0.9	4.05	0	-0.169	4.05
5H-3. 10-12	37	41.24	768.5	C.wuellerstorfi	-0.611	0	3.546	0.64	-0.611	4.186
5H-3. 20-22	37.1	41.34	769.4	C.wuellerstorfi	-0.466	0	3.661	0.64	-0.466	4.301
5H-3. 60-62	37.5	41.74	773	C.wuellerstorfi	-0.374	0	3.58	0.64	-0.374	4.22
5H-3. 70-72	37.6	41.84	773.9	U.peregrina	-1.235	0.9	3.971	0	-0.335	3.971
5H-3. 80-82	37.7	41.94	774.8	C.wuellerstorfi	-0.25	0	3.613	0.64	-0.25	4.253
5H-3. 90-92	37.8	42.04	775.7	C.wuellerstorfi	-0.337	0	3.335	0.64	-0.337	3.975
