# NOAA Paleoclimatology Program - Paleocean Site Data
# v19-30_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             SPECMAP Contributors
# Core/Site:      V19-30
# Latitude:       3.00.00S	( -3)
# Longitude:      83.00.00W	( -83)
# Water Depth(m): 3091
#
# Publications:
#   Imbrie, J., E.A. Boyle, S.C. Clemens, A. Duffy, W.R. Howard, G. Kukla, J. Kutzbach,
#     D.G. Martinson, A. McIntyre, A.C. Mix, B. Molfino, J.J. Morley, L.C. Peterson,
#     N.G. Pisias, W.L. Prell, M.E. Raymo, N.J. Shackleton, and J.R. Toggweiler. 1992.
#     On the structure and origin of major glaciation cycles. 1. Linear responses to
#     Milankovitch forcing. Paleoceanography 7:701-738.
#   Shackleton, N.J. 1987. Oxygen isotopes, ice volume and sea level. Quaternary
#     Science Reviews 6:183-190.
#   Shackleton, N.J., and N.G. Pisias. 1985. Atmospheric carbon dioxide, orbital
#     forcing, and climate. Pages 303-317 in E.T. Sundquist and W.S. Broecker, editors,
#     The Carbon Cycle and Atmospheric CO2: Natural Variations Archean to Present.
#     American Geophysical Union, Washington, D.C., USA.
#------------------
#
# Description & Notes:
#   Late Quaternary variations in ocean hydrography (SPECMAP)
#   
#
# V19-30 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-        Notes
#  32.75       6090          180           180          GX8272
#  66.75       9935          270           270          GX8273
# 
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#
# CORE: V19-30
depth         yrBP          d13Cforams-b  d18Oforams-b  
 677           103000        0.02          4.07         
 680           103700       -0.17          3.98         
 683           104300       -0.04          4.17         
 686           104900       -0.22          4.24         
 690           105700       -0.47          4.2          
 692           106100       -0.17          4.29         
 693           106300       -0.2           4.21         
 695           106700       -0.1           4.29         
 696           107000       -0.49          4.14         
 699           107600       -0.06          4.32         
 701           108000       -0.21          4.52         
 702           108200       -0.24          4.31         
 703           108400       -0.51          4.29         
 705           108800       -0.15          4.39         
 706           109000       -0.39          4.34         
 708           109400       -0.26          4.48         
 710           109800       -0.34          4.39         
 711           110000       -0.32          4.15         
 713           110500       -0.4           4.37         
 714           110700       -0.34          4.13         
 716           111100       -0.19          4.01         
 718           111500       -0.07          4.05         
 720           111900       -0.15          4.01         
 722           112300       -0.12          3.99         
 723           112500       -0.19          3.98         
 725           112900       -0.06          3.78         
 726           113100       -0.18          3.77         
 728           113600        0.04          3.61         
 730           114000       -0.14          3.71         
 732           114400        0.08          4.07         
 733           114600       -0.14          4            
 735           115000       -0.01          3.96         
 736           115300       -0.11          3.55         
 738           115900        0.14          3.49         
 740           116400        0.02          3.41         
 742           117000        0.17          3.48         
 743           117300       -0.06          3.36         
 745           117900        0.23          3.76         
 746           118200       -0.09          3.47         
 748           118700        0.12          3.42         
 750           119300        0.04          3.42         
 752           119900       -0.05          3.18         
 753           120200       -0.01          3.32         
 755           120700        0.01          3.23         
 756           121000       -0.03          3.59         
 758           121600        0.11          3.35         
 760           122200       -0.03          3.41         
 763           123000       -0.15          3.35         
 765           123600        0             3.42         
 766           123900        0             3.45         
 770           125100       -0.18          3.58         
 772           125600       -0.06          3.51         
 773           125900        0.02          3.53         
 775           126400       -0.22          3.98         
 776           126600       -0.23          4.1          
 780           127300       -0.05          4.23         
 783           127800       -0.45          4            
 786           128300       -0.36          4.48         
 796           130100       -0.09          4.42         
 800           130800       -0.53          4.85         
 803           131300       -0.3           3.88         
