mcd	ageCK92 607O18	607O18adj	607C13
7622.5	1814.1	2.96	3.60	0.98
7630.5	1815.9	2.98	3.62	0.94
7647.5	1819.7	2.99	3.63	0.96
7660.5	1822.6	2.82	3.46	1.03
7675.5	1825.9	2.94	3.58	0.71
7692.5	1829.7	3.24	3.88	0.82
7705.5	1832.6	2.94	3.58	1.01
7722.5	1836.4	2.92	3.56	1.04
7735.5	1839.2	2.83	3.47	1.25
7750.5	1842.6	2.96	3.60	0.71
7772.5	1847.5	2.85	3.49	1.05
7780.5	1849.3	3.05	3.69	1.32
7810.5	1855.9	2.93	3.57	1.10
7825.5	1859.3	2.72	3.36	0.93
7840.5	1862.6	3.02	3.66	0.82
7855.5	1865.9	2.82	3.46	0.94
7870.5	1869.3	3.16	3.80	1.04
7885.5	1872.6	3.30	3.94	0.96
7900.5	1875.9	3.43	4.07	0.78
7922.5	1880.8	3.50	4.14	0.85
7930.5	1882.6	3.29	3.93	0.71
7947.5	1886.4	3.52	4.16	0.52
7975.5	1892.6	3.29	3.93	0.44
7990.5	1895.9	3.33	3.97	0.68
8005.5	1899.3	3.13	3.77	0.80
8010.5	1900.4	3.05	3.69	0.70
8020.5	1902.6	3.14	3.78	0.62
8035.5	1905.9	2.97	3.61	0.97
8048.5	1908.8	2.93	3.57	0.94
8072.5	1914.2	2.70	3.34	0.77
8080.5	1915.9	2.82	3.46	1.02
8097.5	1919.7	2.65	3.29	0.85
8108.5	1922.2	2.74	3.38	0.98
8125.5	1925.9	3.40	4.04	0.50
8140.5	1929.3	3.49	4.13	0.48
8155.5	1932.6	3.27	3.91	0.71
8170.5	1935.9	3.49	4.13	0.71
8185.5	1939.3	2.97	3.61	0.93
8200.5	1942.6	3.31	3.95	0.67
8230.5	1949.3	2.72	3.36	1.13
8245.5	1952.6	2.58	3.22	0.96
8260.5	1955.9	3.04	3.68	1.05
8269.5	1957.9	2.82	3.46	0.96
8306.5	1966.2	3.42	4.06	0.32
8314.5	1967.9	3.34	3.98	0.90
8331.5	1971.7	3.33	3.97	0.95
