/* DATA DESCRIPTION:
Citation:	McIntyre, K et al. (1999): Pliocene-Pleistocene stable oxygen and carbon isotope ratios of Cibicidoides wuellerstorfi from ODP Site 162-983 in the North Atlantic, doi:10.1594/PANGAEA.698996,
	In Supplement to: McIntyre, K; Ravelo, A Christina; Delaney, Margaret Lois (1999): North Atlantic intermediate waters in the Late Pliocene to Early Pleistocene, Paleoceanography, 14(3), 324-335, doi:10.1029/1998PA900005
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: -23.6407 * EAST: -23.6407 * SOUTH: 60.4035 * NORTH: 60.4035
	MINIMUM AGE: 1390.000 ka BP * MAXIMUM AGE: 1967.290 ka BP
	MINIMUM DEPTH, sediment: 179.6 m * MAXIMUM DEPTH, sediment: 287.7 m
Event(s):	162-983 * LATITUDE: 60.4035 * LONGITUDE: -23.6407 * ELEVATION: -1983.7 m * DATE/TIME: 1995-07-21T00:00:00 * DATE/TIME 2: 1995-07-24T00:00:00 * RECOVERY: 798.00 m * PENETRATION: 766.50 m * CAMPAIGN: Leg162 (URI: doi:10.2973/odp.proc.ir.162.1996) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Composite Core * COMMENT: 82 cores; 766.5 m cored; 0 m drilled; 104.1% recovery
Comment:	Depth is composite depth (mcd)
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	AGE [ka BP] (Age) * Geocode
	Size fraction > 0.063 mm, sand [%] (>63 µm) * PI: McIntyre, K * METHOD: Grain size, sieving
	Cibicidoides wuellerstorfi, d13C [per mil PDB] (C. wuellerstorfi d13C) * PI: McIntyre, K * METHOD: Mass spectrometer
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: McIntyre, K * METHOD: Mass spectrometer
Size:	873 data points
*/
Depth [m]	Age [ka BP]	>63 µm [%]	C. wuellerstorfi d13C [per mil PDB]	C. wuellerstorfi d18O [per mil PDB]
260.38	1851.51	0.36		
260.68	1851.92	1.01		
260.98	1852.34	0.87		
261.28	1852.75	1.26	0.78	3.26
261.58	1853.17	0.30	0.80	3.28
261.89	1853.60	3.31	0.73	3.25
262.18	1854.00	4.04	0.84	3.13
262.48	1854.71	1.75	0.27	3.37
262.78	1855.41	0.66		
263.08	1856.12	0.28		
263.38	1856.83	0.57	0.58	3.32
263.68	1857.54	0.60	0.73	3.45
263.95	1858.17	0.11	0.26	2.29
263.98	1858.24	0.64		
264.25	1858.88	0.23	0.59	3.62
264.56	1859.61	0.13		
264.85	1860.29	0.15		
265.15	1861.00	0.67	0.78	3.70
265.45	1864.10	0.37		
265.75	1867.19	0.16		
266.05	1870.29	0.78		
266.35	1873.38	0.51	1.40	2.39
266.65	1876.48	1.04		
266.95	1879.58	1.62	1.18	3.36
267.00	1880.09	2.07	0.97	3.25
267.25	1882.67	2.55	1.05	3.38
267.36	1883.81	4.62	1.05	3.30
267.55	1885.77	2.42		
267.66	1886.90	1.64	0.95	3.40
267.96	1890.00	2.88	0.53	3.25
268.26	1890.65	2.53	0.63	3.22
268.56	1891.30	2.35	0.56	3.26
268.86	1891.95	4.14	0.68	3.31
269.16	1892.60	3.56	0.66	3.19
269.46	1893.25	5.05	0.53	3.25
269.76	1893.90	4.15	0.82	3.19
270.00	1894.42	12.22	0.81	3.31
270.06	1894.55	4.72	0.64	3.26
270.29	1895.05	20.31	0.93	3.18
270.34	1895.16	9.37	0.81	3.30
270.59	1895.70	12.59	0.39	3.25
270.89	1896.35	6.59	0.74	3.48
271.19	1897.00	8.28	0.90	3.23
271.49	1897.65	9.26	0.89	3.17
271.79	1898.30	11.66	0.87	3.23
272.09	1898.95	4.16	0.76	3.32
272.39	1899.61	2.25	0.76	3.48
272.69	1900.26	2.21	0.70	3.39
273.00	1900.93	0.40	0.34	3.39
273.29	1901.56	1.17	0.18	3.61
273.59	1902.21	0.64	-0.12	3.93
273.89	1902.86	0.42		
274.19	1903.51	4.10	0.25	3.87
274.49	1904.16	0.74	0.29	4.10
274.79	1904.81	1.34	0.09	3.95
275.09	1905.46	0.62	0.18	3.59
275.39	1906.11	1.00	0.51	3.73
275.69	1906.76	0.54	-0.24	3.79
275.89	1907.19	0.73	-0.07	3.55
276.00	1907.43	0.54		
276.29	1908.06	0.99		
276.59	1908.71	1.41		
276.75	1909.06	0.59		
276.89	1909.36	0.69		
276.90	1909.38	0.26		
277.10	1909.82	1.24	-0.10	3.31
277.14	1909.90	0.74		
277.22	1910.08	1.11	0.21	3.37
277.25	1910.14	1.24	0.24	3.48
277.30	1910.25	0.91	0.20	3.53
277.40	1910.47	0.17	0.32	3.65
277.71	1911.14	0.79	0.24	3.69
278.00	1911.77	0.65		
278.26	1912.33	0.68		
278.66	1913.20	0.88	0.27	3.44
278.96	1913.85	1.26	0.55	3.50
279.26	1914.50	0.87		
279.56	1915.94	0.53		
279.86	1919.94	0.96	0.55	3.14
280.17	1924.09	1.14		
280.46	1927.96	1.29	0.76	3.09
280.76	1931.97	1.47		
281.06	1935.98	2.12		
281.36	1939.99	1.17	-0.01	3.09
281.66	1944.00	1.98	0.13	3.05
281.96	1950.06	2.91	0.52	3.18
282.26	1950.18	4.01	0.81	3.08
282.56	1950.30	2.53		
282.86	1950.41	1.46		
283.17	1950.54	3.90		
283.46	1950.65	0.69		
283.76	1950.77	1.32		
284.06	1950.88	0.50		
284.36	1951.00	0.34	-0.11	3.85
284.66	1952.48	1.16		
284.96	1953.96	1.36		
285.26	1955.44	0.45		
285.56	1956.92	2.00	-0.55	3.16
285.86	1958.40	0.91	0.24	3.46
286.17	1959.93	1.02	0.27	3.16
286.46	1961.36	0.82	0.22	3.50
286.76	1962.85	0.36		
287.06	1964.33	0.46	0.44	3.31
287.36	1965.81	0.48	0.59	3.25
287.66	1967.29	0.84		
