age(ma)	PF-13C	PF-18O	age(Ma)	BF-13C	BF-18O
1.625 	0.421 	-2.661 	1.682 	-0.099 	3.126 
1.641 	0.125 	-1.792 	1.702 	-0.458 	3.488 
1.660 	0.502 	-1.638 	1.720 	-0.155 	2.767 
1.682 	0.334 	-1.975 	1.722 	-0.258 	2.797 
1.694 	-0.038 	-2.136 	1.746 	-0.390 	2.840 
1.702 	0.121 	-1.364 	1.748 	-0.517 	3.040 
1.720 	-0.147 	-2.090 	1.757 	-0.057 	3.294 
1.750 	-0.075 	-2.104 	1.765 	0.091 	2.719 
1.765 	0.297 	-2.160 	1.777 	-0.441 	2.924 
1.777 	-0.267 	-2.143 	1.795 	-0.285 	3.364 
1.802 	0.427 	-1.184 	1.810 	-0.262 	3.053 
1.815 	-0.014 	-1.975 	1.815 	-0.207 	2.593 
1.832 	0.570 	-1.777 	1.832 	-0.092 	2.879 
1.841 	0.263 	-2.135 	1.841 	-0.561 	3.403 
1.846 	-0.141 	-1.808 	1.855 	-0.274 	2.903 
1.855 	0.562 	-1.924 	1.868 	-0.123 	2.979 
1.868 	0.216 	-2.035 	1.890 	0.110 	2.708 
1.890 	-0.027 	-2.099 	1.916 	-0.563 	3.339 
1.916 	0.424 	-2.245 	1.924 	-0.114 	2.971 
1.954 	0.131 	-2.302 	1.939 	-0.090 	2.499 
1.957 	-0.243 	-2.188 	1.957 	-0.201 	3.146 
1.983 	0.243 	-2.212 	1.982 	0.414 	2.570 
1.999 	0.519 	-2.246 	1.999 	-0.155 	3.181 
2.019 	0.760 	-1.799 	2.027 	-0.116 	2.707 
2.027 	0.686 	-1.931 	2.051 	-0.095 	2.974 
2.051 	0.421 	-2.433 	2.072 	-0.193 	3.315 
2.072 	0.070 	-1.818 	2.086 	-0.443 	3.381 
2.104 	0.163 	-2.353 	2.090 	-0.339 	3.167 
2.141 	0.390 	-2.242 	2.103 	-0.347 	3.040 
2.142 	0.097 	-2.085 	2.104 	-0.115 	2.966 
2.144 	0.322 	-2.214 	2.136 	-0.067 	2.895 
2.146 	-0.371 	-1.800 	2.140 	-0.329 	2.664 
2.152 	0.104 	-1.865 	2.144 	-0.454 	2.774 
2.162 	0.136 	-2.088 	2.146 	-0.408 	2.931 
2.163 	0.436 	-2.249 	2.152 	-0.414 	3.461 
2.164 	0.178 	-2.338 	2.162 	-0.604 	3.629 
2.164 	0.577 	-1.997 	2.163 	-0.394 	3.493 
2.165 	0.133 	-2.136 	2.164 	-0.309 	3.284 
