ODP 925        
         
4¡12.25 N 43¡29.33 W 3042 m    
         
Ceara Rise        
         
data Torsten Bickert (Uni Bremen)     
Bickert et al. (1997) Ocean Drill. Program Sci. Results. 154.
Age model        
         
Site Hole Core Type Sect Top mcd d18O d13C species 
925 C 2 H 5 11 14.83 3.46 0.58 C.wuellerstorfi
925 C 2 H 5 21 14.93 3.40 0.73 C.spp.
925 C 2 H 5 31 15.03 3.59 0.37 C.wuellerstorfi
925 C 2 H 5 41 15.13 3.13 0.90 C.wuellerstorfi
925 C 2 H 5 51 15.23 3.51 0.93 C.wuellerstorfi
925 C 2 H 5 61 15.33 3.16 0.96 C.wuellerstorfi
925 C 2 H 5 61 15.33 3.26 1.03 C.kullenbergi
925 C 2 H 5 71 15.43 3.22 0.92 C.kullenbergi
925 C 2 H 5 81 15.53 3.26 0.91 C.kullenbergi
925 C 2 H 5 81 15.53 3.15 1.10 C.wuellerstorfi
925 C 2 H 5 91 15.63 2.99 1.03 C.wuellerstorfi
925 C 2 H 5 101 15.73 3.05 0.55 C.wuellerstorfi
925 C 2 H 5 111 15.83 2.65 1.25 C.wuellerstorfi
925 C 2 H 5 121 15.93 2.75 1.18 C.kullenbergi
925 C 2 H 5 121 15.93 2.86 1.18 C.wuellerstorfi
925 C 2 H 5 131 16.03 2.25 1.08 C.wuellerstorfi
925 C 2 H 5 141 16.13 2.26 1.04 C.wuellerstorfi
925 C 2 H 5 150 16.22 2.23 1.32 C.wuellerstorfi
925 C 2 H 6 11 16.33 2.62 0.91 C.bradyii
925 C 2 H 6 21 16.43 3.07 0.27 C.spp.
925 C 2 H 6 21 16.43 2.82 0.84 C.bradyii
925 C 2 H 6 31 16.53 3.20 0.20 C.bradyii
925 C 2 H 6 31 16.53 4.01 -0.25 C.wuellerstorfi
925 C 2 H 6 41 16.63 3.24 0.67 C.wuellerstorfi
925 C 2 H 6 41 16.63 2.50 1.12 C.kullenbergi
925 C 2 H 6 51 16.73 3.08 0.66 C.wuellerstorfi
925 C 2 H 6 61 16.83 4.41 -0.03 C.wuellerstorfi
925 C 2 H 6 71 16.93 4.14 -0.25 C.wuellerstorfi
925 C 2 H 6 91 17.13 4.24 -0.18 C.wuellerstorfi
925 C 2 H 6 101 17.23 4.03 0.09 C.wuellerstorfi
925 C 2 H 6 101 17.23 4.10 0.24 C.wuellerstorfi
925 C 2 H 6 111 17.33 3.72 0.41 C.spp.
925 C 2 H 6 121 17.43 3.76 0.38 C.wuellerstorfi
925 C 2 H 6 131 17.53 3.49 0.59 C.wuellerstorfi
925 C 2 H 6 141 17.63 3.73 0.41 C.wuellerstorfi
925 C 2 H 6 150 17.72 3.74 0.33 C.wuellerstorfi
925 B 3 H 1 91 17.82 3.15 0.93 C.kullenbergi
925 C 2 H 7 11 17.83 3.94 -0.04 C.wuellerstorfi
925 B 3 H 1 101 17.92 4.37 -0.11 C.wuellerstorfi
925 B 3 H 1 101 17.92 4.37 -0.13 C.wuellerstorfi
925 B 3 H 1 116 18.07 4.17 -0.52 C.wuellerstorfi
925 B 3 H 1 121 18.12 4.31 -0.22 C.wuellerstorfi
925 B 3 H 1 134 18.25 4.12 0.11 C.wuellerstorfi
925 B 3 H 2 11 18.52 3.83 0.42 C.wuellerstorfi
925 B 3 H 2 21 18.62 3.75 0.48 C.wuellerstorfi
925 B 3 H 2 31 18.72 3.73 -0.15 C.wuellerstorfi
925 B 3 H 2 43 18.84 3.84 0.09 C.wuellerstorfi
925 B 3 H 2 43 18.84 3.93 0.44 C.wuellerstorfi
925 B 3 H 2 61 19.02 3.77 0.30 C.wuellerstorfi
925 B 3 H 2 71 19.12 3.60 0.72 C.wuellerstorfi
925 B 3 H 2 81 19.22 3.55 0.68 C.wuellerstorfi
925 B 3 H 2 91 19.32 3.84 0.39 C.wuellerstorfi
925 B 3 H 2 91 19.32 3.67 0.59 C.wuellerstorfi
925 B 3 H 2 101 19.42 3.25 0.31 C.cicatricosus
925 B 3 H 2 117 19.58 3.23 1.06 C.kullenbergi
925 B 3 H 2 117 19.58 3.31 1.25 C.wuellerstorfi
925 B 3 H 2 140 19.81 2.90 0.83 C.kullenbergi
925 B 3 H 2 140 19.81 3.04 1.13 C.wuellerstorfi
925 B 3 H 3 1 19.92 2.76 1.44 C.wuellerstorfi
925 B 3 H 3 1 19.92 2.90 -0.99 C.kullenbergi
925 B 3 H 3 10 20.01 2.81 1.11 C.kullenbergi
925 B 3 H 3 20 20.11 2.92 1.23 C.bradyii
925 B 3 H 3 31 20.22 2.89 1.40 C.wuellerstorfi
925 B 3 H 3 41 20.32 2.86 1.15 C.spp.
925 B 3 H 3 50 20.41 2.99 1.32 C.wuellerstorfi
925 B 3 H 3 60 20.51 3.19 1.51 C.wuellerstorfi
925 B 3 H 3 80 20.71 3.31 1.45 C.wuellerstorfi
925 B 3 H 3 80 20.71 3.04 1.48 C.wuellerstorfi
925 B 3 H 3 90 20.81 3.23 1.30 C.spp.
925 B 3 H 3 100 20.91 2.93 1.45 C.wuellerstorfi
925 B 3 H 3 116 21.07 3.07 0.78 C.wuellerstorfi
925 B 3 H 3 116 21.07 3.16 0.85 C.wuellerstorfi
925 C 3 H 3 26 21.09 3.12 1.10 C.wuellerstorfi
925 B 3 H 3 120 21.11 3.02 1.21 C.wuellerstorfi
925 C 3 H 3 31 21.14 3.50 0.70 C.wuellerstorfi
925 C 3 H 3 36 21.19 3.23 0.50 C.wuellerstorfi
925 B 3 H 3 130 21.21 2.90 0.92 C.cicatricosus
925 C 3 H 3 41 21.24 3.35 0.36 C.wuellerstorfi
925 C 3 H 3 46 21.29 3.65 0.39 C.wuellerstorfi
925 C 3 H 3 46 21.29 3.69 0.42 C.wuellerstorfi
925 B 3 H 3 140 21.31 3.37 0.40 C.wuellerstorfi
925 B 3 H 3 140 21.31 3.69 0.54 C.wuellerstorfi
925 C 3 H 3 51 21.34 3.64 0.36 C.wuellerstorfi
925 C 3 H 3 51 21.34 3.70 0.52 C.wuellerstorfi
925 C 3 H 3 56 21.39 3.76 0.61 C.wuellerstorfi
925 C 3 H 3 61 21.44 3.77 0.47 C.wuellerstorfi
925 C 3 H 3 66 21.49 3.86 0.96 C.wuellerstorfi
925 C 3 H 3 71 21.54 3.76 0.75 C.wuellerstorfi
925 C 3 H 3 71 21.54 3.89 0.98 C.wuellerstorfi
925 C 3 H 3 76 21.59 3.81 0.55 C.wuellerstorfi
925 C 3 H 3 81 21.64 3.76 0.80 C.wuellerstorfi
925 C 3 H 3 86 21.69 3.69 0.19 C.wuellerstorfi
925 C 3 H 3 86 21.69 3.83 0.55 C.wuellerstorfi
925 C 3 H 3 91 21.74 3.74 0.54 C.wuellerstorfi
925 C 3 H 3 96 21.79 3.69 0.77 C.wuellerstorfi
925 C 3 H 3 101 21.84 3.52 0.41 C.wuellerstorfi
925 C 3 H 3 106 21.89 3.46 0.70 C.wuellerstorfi
925 C 3 H 3 111 21.94 3.41 0.62 C.wuellerstorfi
925 C 3 H 3 116 21.99 3.30 0.74 C.wuellerstorfi
925 C 3 H 3 116 21.99 3.41 0.87 C.wuellerstorfi
925 C 3 H 3 121 22.04 3.46 0.68 C.wuellerstorfi
925 C 3 H 3 126 22.09 3.13 0.16 C.wuellerstorfi
925 C 3 H 3 141 22.24 2.77 0.83 C.spp.
925 C 3 H 3 147 22.30 3.27 0.97 C.wuellerstorfi
925 C 3 H 4 6 22.39 3.40 0.91 C.wuellerstorfi
925 C 3 H 4 11 22.44 2.85 1.08 C.wuellerstorfi
925 C 3 H 4 16 22.49 2.63 1.21 C.wuellerstorfi
925 C 3 H 4 21 22.54 2.45 1.22 C.wuellerstorfi
925 C 3 H 4 26 22.59 2.54 1.20 C.wuellerstorfi
925 C 3 H 4 31 22.64 2.61 1.22 C.wuellerstorfi
925 C 3 H 4 36 22.69 2.63 0.63 C.bradyii
925 C 3 H 4 41 22.74 2.66 0.58 C.spp.
925 C 3 H 4 46 22.79 2.82 0.26 C.bradyii
925 C 3 H 4 46 22.79 3.63 0.35 C.wuellerstorfi
925 C 3 H 4 51 22.84 3.40 0.15 C.wuellerstorfi
925 C 3 H 4 56 22.89 3.18 -0.33 C.wuellerstorfi
925 C 3 H 4 61 22.94 3.59 0.07 C.wuellerstorfi
925 C 3 H 4 66 22.99 3.16 1.05 C.wuellerstorfi
925 C 3 H 4 71 23.04 3.49 0.68 C.wuellerstorfi
925 C 3 H 4 71 23.04 3.58 0.86 C.wuellerstorfi
925 C 3 H 4 81 23.14 3.15 1.00 C.wuellerstorfi
925 C 3 H 4 91 23.24 3.09 0.96 C.wuellerstorfi
925 C 3 H 4 101 23.34 3.31 1.01 C.wuellerstorfi
925 C 3 H 4 106 23.39 3.28 0.72 C.wuellerstorfi
925 C 3 H 4 111 23.44 3.28 0.36 C.wuellerstorfi
925 C 3 H 4 111 23.44 3.08 0.97 C.wuellerstorfi
925 C 3 H 4 116 23.49 3.33 0.14 C.wuellerstorfi
925 C 3 H 4 116 23.49 3.32 0.43 C.wuellerstorfi
925 C 3 H 4 121 23.54 3.15 0.81 C.wuellerstorfi
925 C 3 H 4 126 23.59 3.69 1.16 C.wuellerstorfi
925 C 3 H 4 131 23.64 3.02 1.07 C.wuellerstorfi
925 C 3 H 4 136 23.69 2.67 1.22 C.wuellerstorfi
925 C 3 H 4 141 23.74 3.00 1.00 C.wuellerstorfi
925 C 3 H 4 141 23.74 2.96 1.08 C.wuellerstorfi
925 C 3 H 4 146 23.79 2.96 1.14 C.wuellerstorfi
925 C 3 H 5 1 23.84 2.70 0.99 C.wuellerstorfi
925 C 3 H 5 1 23.84 2.53 1.15 C.wuellerstorfi
925 C 3 H 5 6 23.89 2.76 1.02 C.wuellerstorfi
925 C 3 H 5 11 23.94 2.86 0.95 C.wuellerstorfi
925 C 3 H 5 16 23.99 3.20 0.41 C.wuellerstorfi
925 C 3 H 5 21 24.04 4.29 0.30 C.wuellerstorfi
925 C 3 H 5 26 24.09 3.98 0.03 C.wuellerstorfi
925 C 3 H 5 31 24.14 4.34 0.15 C.wuellerstorfi
925 C 3 H 5 36 24.19 4.38 0.13 C.wuellerstorfi
925 C 3 H 5 41 24.24 4.34 0.39 C.wuellerstorfi
925 C 3 H 5 46 24.29 4.32 0.30 C.wuellerstorfi
925 C 3 H 5 51 24.34 4.33 0.53 C.wuellerstorfi
925 C 3 H 5 56 24.39 4.07 0.14 C.wuellerstorfi
925 C 3 H 5 56 24.39 4.37 0.44 C.wuellerstorfi
925 C 3 H 5 61 24.44 4.17 0.39 C.wuellerstorfi
925 C 3 H 5 61 24.44 4.17 0.44 C.wuellerstorfi
925 C 3 H 5 66 24.49 4.23 0.22 C.wuellerstorfi
925 C 3 H 5 71 24.54 4.11 0.33 C.wuellerstorfi
925 C 3 H 5 76 24.59 4.02 0.10 C.wuellerstorfi
925 C 3 H 5 81 24.64 4.00 -0.13 C.wuellerstorfi
925 C 3 H 5 86 24.69 4.04 0.23 C.wuellerstorfi
925 C 3 H 5 91 24.74 3.94 0.53 C.wuellerstorfi
925 C 3 H 5 96 24.79 3.98 0.59 C.wuellerstorfi
925 C 3 H 5 101 24.84 3.84 0.26 C.wuellerstorfi
925 C 3 H 5 106 24.89 3.84 0.21 C.wuellerstorfi
925 C 3 H 5 111 24.94 3.88 0.14 C.wuellerstorfi
925 C 3 H 5 116 24.99 3.82 0.58 C.wuellerstorfi
925 C 3 H 5 121 25.04 3.72 -0.01 C.wuellerstorfi
925 C 3 H 5 126 25.09 3.82 -0.15 C.wuellerstorfi
925 C 3 H 5 131 25.14 3.44 0.70 C.wuellerstorfi
925 C 3 H 5 131 25.14 3.63 0.70 C.wuellerstorfi
925 C 3 H 5 136 25.19 3.74 0.81 C.wuellerstorfi
925 C 3 H 5 141 25.24 3.79 0.37 C.wuellerstorfi
925 C 3 H 5 146 25.29 3.82 -0.60 C.spp.
925 C 3 H 6 1 25.34 3.92 -0.24 C.wuellerstorfi
925 C 3 H 6 6 25.39 3.91 0.25 C.wuellerstorfi
925 C 3 H 6 6 25.39 3.81 0.36 C.wuellerstorfi
925 C 3 H 6 11 25.44 3.61 0.20 C.wuellerstorfi
925 C 3 H 6 16 25.49 3.67 -0.43 C.wuellerstorfi
925 C 3 H 6 21 25.54 3.82 -0.12 C.wuellerstorfi
925 C 3 H 6 26 25.59 3.75 0.24 C.wuellerstorfi
925 C 3 H 6 31 25.64 3.64 0.62 C.wuellerstorfi
925 C 3 H 6 36 25.69 3.31 0.67 C.wuellerstorfi
925 C 3 H 6 41 25.74 3.40 0.61 C.wuellerstorfi
925 C 3 H 6 41 25.74 3.55 0.71 C.wuellerstorfi
