   
   
   
   
   
   
   
   
   
   
   
   
   
   
Soc. of Edinburgh: Earth
   
   
   
each sample indicated by
   
   
   
   
depth kyrBP d18Oforams-b notes
3660 931 4.16 UVIG
3665 932 4.2 UVIG
3670 933 4.03 UVIG
3675 935 4.18 UVIG
3680 936 3.83 UVIG
3685 937 4.2 UVIG
3692 939 3.91 UVIG
3700 941 3.81 UVIG
3705 942 3.97 UVIG
3710 943 3.73 UVIG
3715 945 3.65 UVIGORID
3730 948 3.44 UVIGORID
3736 950 3.56 UVIG
3741 951 3.46 UVIG
3745 952 3.84 UVIG
3750 953 3.6 UVIG
3755 955 3.54 UVIG
3760 956 3.54 UVIG
3765 957 3.82 UVIG
3765 957 3.81 UVIG
3775 960 4.05 UVIG
3775 960 4.31 UVIG
3785 962 4.55 UVIG
3785 962 4.4 UVIG
3795 965 4.53 UVIG
3802 967 4.33 UVIG
3815 970 4.19 UVIG
3825 972 4.27 UVIGORID
3833 974 4.09 UVIG
3843 977 4.07 UVIG
3855 981 4.14 UVIG
3865 983 4.2 UVIGORID
3875 986 4 UVIG
3886 989 4.24 UVIG
3895 992 4.13 UVIGORID
3905 995 4.09 UVIG
3915 997 3.86 UVIGORID
3935 1002 4.3 UVIGORID
3946 1004 4.1 UVIPORID
3957 1008 4.31 UVIG
3965 1011 4.17 UVIPORID
3975 1015 4.03 UVIGORID
3983 1017 3.9 UVIG
3992 1021 4.02 UVIG
4005 1026 3.85 UVIGORID
4015 1028 3.91 UVIGORID
4025 1029 4.01 UVIGORID
4035 1030 4.05 UVIG
4045 1031 4.35 UVIG
4055 1033 4.47 UVIG
4063 1034 4.62 UVIG
4075 1037 4.47 UVIG
4085 1040 4.59 UVIGORID
4095 1042 4.19 UVIGORID
4101 1044 4.3 UVIGORID
4115 1047 4.27 UVIGORID
4125 1050 4.37 UVIG
4133 1052 4.36 UVIG
4142 1054 4.37 UVIG
4155 1058 4.42 UVIG
4165 1060 3.69 UVIG
4175 1063 3.57 UVIG
4185 1065 3.48 UVIG
4195 1068 3.44 UVIG
4205 1070 3.43 UVIG
4215 1073 3.45 UVIG
4225 1075 3.65 UVIG
4235 1077 3.74 UVIG
4245 1079 3.85 UVIG
4252 1081 4.06 UVIG
4265 1084 4.07 UVIGORID
4283 1088 4.27 UVIG
4325 1101 4.43 UVIG
4335 1104 4.22 UVIG
4345 1108 4.04 UVIG
4355 1111 3.87 UVIG
4365 1113 3.76 UVIG
4375 1115 3.8 UVIG
4385 1116 4.26 UVIG
4395 1118 4.26 UVIG
4401 1119 4.62 UVIG
4415 1122 4.33 UVIGORID
4420 1123 4.38 UVIG
4425 1124 4.69 UVIG
4430 1124 4.37 UVIG
4433 1125 4.61 UVIG
4438 1126 4.6 UVIG
4442 1127 4.61 UVIG
4453 1129 4.55 UVIG
4460 1130 4.58 UVIG
4480 1134 4.53 UVIG
4485 1135 4.5 UVIGSBUL
4495 1136 4.18 UVIG
4505 1138 4.04 UVIG
4510 1139 4.05 UVIG
4515 1140 4.17 UVIG
4523 1142 4.11 UVIG
4530 1143 4.15 UVIG
4541 1145 4 UVIG
4551 1147 4 UVIG
4560 1148 3.98 UVIG
4570 1150 3.93 UVIG
4580 1152 3.98 UVIG
4591 1154 3.96 UVIG
4600 1155 3.97 UVIG
4610 1157 3.73 UVIG
4620 1159 3.74 UVIG
4630 1160 3.78 UVIG
4635 1161 3.74 UVIG
4641 1162 3.82 UVIG
4651 1164 3.58 UVIG
4655 1165 3.71 UVIG
4660 1165 3.71 UVIG
4665 1166 3.72 UVIG
4673 1167 3.83 UVIG
4675 1168 3.96 UVIG
4680 1168 3.88 UVIG
4687 1170 3.96 UVIG
4691 1170 3.85 UVIG
4695 1171 3.98 UVIG
4700 1172 3.88 UVIG
4703 1172 4.01 UVIG
4710 1175 3.88 UVIG
4715 1177 4.35 UVIG
4715 1177 3.4 UVIG
4725 1181 4.05 UVIG
4765 1199 4.27 UVIG
4765 1199 4.04 UVIGORID
4785 1207 4.51 UVIG
4785 1207 4.68 UVIGORID
4795 1210 4.58 UVIG
4805 1212 4.53 UVIG
4805 1212 4.41 UVIG
4815 1214 4.46 UVIG
4815 1214 4.38 UVIG
4815 1214 4.43 UVIGORID
4825 1216 4.39 UVIG
4825 1216 4.49 UVIG
4835 1217 4.36 UVIG
4835 1217 4.51 UVIG
4845 1219 4.32 UVIG
4845 1219 4.38 UVIG
4853 1221 4.35 UVIG
4855 1221 4.2 UVIG
4865 1223 3.88 UVIG
4875 1225 4.25 UVIG
4885 1226 4.15 UVIG
4895 1228 3.96 UVIG
4906 1230 3.78 UVIG
4915 1232 3.54 UVIG
4925 1234 3.57 UVIG
4935 1235 3.58 UVIG
4945 1237 3.48 UVIG
4955 1239 3.42 UVIGORID
4966 1241 3.46 UVIG
4995 1246 3.85 UVIG
5005 1247 4.07 UVIG
5015 1249 4.42 UVIG
5065 1262 3.99 UVIG
5075 1264 4.35 UVIG
5085 1266 4.21 UVIG
5093 1268 4 UVIG
5104 1271 3.97 UVIG
5124 1276 3.83 UVIGORID
5144 1281 3.86 UVIGORID
5151 1283 3.97 UVIGORID
5165 1286 4.4 UVIG
5175 1288 4.35 UVIG
5185 1290 4.3 UVIG
5195 1293 4.24 UVIG
5206 1295 4.43 UVIG
5215 1297 4.4 UVIG
5225 1300 4.28 UVIG
5235 1302 4.25 UVIG
5235 1302 4.27 UVIG
5245 1304 4.28 UVIG
5245 1304 4.06 UVIG
5255 1307 4.28 UVIG
5255 1307 4.1 UVIG
5265 1309 3.9 UVIG
5265 1309 4.03 UVIG
5275 1311 4.07 UVIG
5275 1311 3.78 UVIG
5285 1314 3.86 UVIG
5285 1314 4.01 UVIG
5295 1316 3.58 UVIBULOR
5302 1318 3.8 UVIGLORI
5306 1320 3.85 UVIG
5315 1322 4.06 UVIG
5315 1322 4.31 UVIG
5325 1325 4.23 UVIG
5325 1325 4.09 UVIG
5335 1328 4.28 UVIG
5335 1328 4.12 UVIG
5345 1331 4.3 UVIG
5345 1331 4.33 UVIG
5355 1334 4.29 UVIG
5365 1336 4.33 UVIG
5365 1336 4.23 UVIG
5375 1338 4.34 UVIG
5375 1338 4.32 UVIG
5385 1340 4.18 UVIG
5385 1340 4.32 UVIG
5395 1342 4.38 UVIG
5400 1343 4.01 UVIG
5405 1344 4.23 UVIG
5413 1346 4.1 UVIG
5415 1346 4.21 UVIG
5420 1347 3.56 UVIG
5425 1348 4.1 UVIG
5435 1350 3.74 UVIG
5445 1352 3.62 UVIG
5450 1353 3.43 UVIG
5452 1354 3.44 UVIG
5460 1355 3.54 UVIG
5465 1356 3.57 UVIG
5470 1357 3.78 UVIG
5475 1358 3.69 UVIG
5480 1359 3.91 UVIG
5485 1360 3.49 UVIG
5493 1362 4.04 UVIG
5495 1362 3.63 UVIG
5500 1363 4.16 UVIG
5510 1365 4.15 UVIG
5515 1366 4.14 UVIG
5520 1367 4.06 UVIG
5525 1368 4.02 UVIG
5530 1369 4.3 UVIG
5533 1369 4.28 UVIG
5540 1371 4.3 UVIG
5545 1372 4.36 UVIG
5550 1373 4.01 UVIG
5555 1374 4.34 UVIG
5560 1375 4.22 UVIG
5564 1376 4.43 UVIG
5610 1385 4.1 UVIG
5620 1386 4.2 UVIG
5630 1388 3.83 UVIG
5670 1396 3.73 UVIG
5756 1412 3.73 UVIGLORI
5760 1413 4.05 UVIG
5765 1414 3.5 UVIG
5770 1415 4.06 UVIG
5775 1416 4.09 UVIG
5780 1417 3.87 UVIG
5785 1418 4.12 UVIG
5790 1419 4.27 UVIG
5795 1420 4.37 UVIG
5805 1422 4.42 UVIG
5810 1423 4.31 UVIG
5815 1424 4.03 UVIG
5820 1425 4.29 UVIG
5825 1425 4.22 UVIG
5830 1426 4.21 UVIG
5835 1427 4.18 UVIG
5840 1428 4.24 UVIG
5845 1429 4.11 UVIG
5850 1430 4.25 UVIG
5855 1431 3.97 UVIG
5860 1432 3.91 UVIG
5865 1433 4.02 UVIG
5870 1434 3.87 UVIG
5875 1435 3.93 UVIG
5885 1437 3.75 UVIG
5890 1438 3.44 UVIG
5895 1439 3.73 UVIG
5898 1439 3.31 UVIG
5910 1441 3.27 UVIG
5920 1443 3.47 UVIG
5940 1447 3.53 UVIGORID
5980 1455 3.74 UVIGORID
5990 1456 4.21 UVIG
6000 1458 4.34 UVIG
6010 1460 4.43 UVIG
6020 1462 4.05 UVIG
6030 1464 4.12 UVIG
6040 1465 4.4 UVIG
6050 1467 4.17 UVIG
6060 1469 3.81 UVIGORID
6070 1471 3.52 UVIGORID
6080 1474 3.49 UVIG
6100 1481 3.57 UVIGLOB
6120 1487 3.66 UVIGLOB
6140 1495 3.74 UVIG
6150 1499 4.08 UVIG
6198 1509 4.36 UVIGORID
6210 1512 4.09 UVIGORID
6290 1529 4.04 UVIORGLO
6300 1531 4.3 UVIG
6310 1534 4.37 UVIG
6320 1537 4.58 UVIG
6330 1541 4.49 UVIG
6340 1544 4.12 UVIGORID
6380 1558 3.84 UVIGORID
6390 1561 3.97 UVIG
6400 1564 3.9 UVIG
6410 1566 3.66 UVIGORID
6430 1569 4.05 UVIG
6440 1570 4.32 UVIG
6450 1572 4.45 UVIG
6462 1577 4.04 UVIG
6470 1580 4.26 UVIG
6470 1580 4.03 UVIG
6498 1591 3.79 UVIGORID
6510 1596 3.79 UVIGORID
6530 1603 3.8 UVIG
6540 1606 3.61 UVIG
6540 1606 3.62 UVIGGLOB
6550 1610 3.45 UVIG
6570 1616 3.81 UVIG
6580 1619 3.84 UVIG
6620 1632 3.7 UVIG
6708 1650 4.17 UVIG
6770 1665 4.28 UVIG
6790 1670 4.15 UVIG
6790 1670 4 UVIGORID
6800 1673 4.09 UVIG
6800 1673 4.04 UVIG
6810 1675 4.04 UVIG
6810 1675 3.94 UVIG
6818 1677 3.82 UVIG
6820 1677 3.86 UVIG
6830 1679 3.69 UVIG
6840 1682 3.86 UVIG
6860 1686 4.16 UVIG
6870 1689 4.03 UVIGLOB
6880 1691 4.06 UVIGBULL
6890 1693 4.04 UVIGLOB
6900 1695 4.11 UVIGLOB
6910 1698 4.39 UVIG
6920 1700 4.49 UVIG
6930 1702 4.55 UVIG
6941 1705 4.36 UVIG
6950 1707 4.44 UVIG
6960 1709 4.18 UVIG
6968 1711 4.22 UVIG
6980 1714 4.08 UVIG
6990 1716 3.88 UVIG
7000 1719 3.91 UVIG
7010 1721 4.04 UVIG
7020 1724 4.17 UVIG
7031 1726 4.2 UVIG
7040 1729 4 UVIG
7050 1731 4.09 UVIG
7060 1734 4.06 UVIG
7080 1739 4.02 UVIG
7090 1742 4 UVIG
7110 1748 4.25 UVIG
7118 1750 4.47 UVIG
7130 1754 4.46 UVIG
7140 1757 4.55 UVIG
7155 1760 4.09 UVIG
7175 1764 3.93 UVIG
7195 1768 3.88 UVIG
7250 1780 3.85 UVIG
7260 1782 3.96 UVIG
7268 1784 4.03 UVIG
7280 1786 4.11 UVIG
7290 1788 4.15 UVIG
