Paleocean Site Data 
   
   
   
   
'-999'   
   
   
   
   
   
   
   
   
Trans. Of the Royal
   
   
lower Pleistocene.  
and B. Source of
   
   
   
CORE: ODP-677  
depth kyrBP d18Oforams-p notes
2422 623 -0.39 GRUBER
2435 625 -0.52 GRUBER
2435 625 -0.19 GRUBER
2445 627 -0.31 GRUBER
2445 627 -0.29 GRUBER
2455 630 -0.57 GRUBER
2455 630 -0.71 GRUBER
2465 633 -0.48 GRUBER
2465 633 -0.59 GRUBER
2475 635 -0.71 GRUBER
2475 635 -0.61 GRUBER
2475 635 -0.3 GRUBER
2485 638 -0.46 GRUBER
2485 638 -0.65 GRUBER
2495 641 -0.6 GRUBER
2495 641 -0.52 GRUBER
2505 643 -1.01 GRUBER
2505 643 -0.95 GRUBER
2515 646 -0.75 GRUBER
2515 646 -0.8 GRUBER
2525 649 -0.65 GRUBER
2525 649 -0.55 GRUBER
2535 651 -0.92 GRUBER
2535 651 -0.71 GRUBER
2542 653 -0.65 GRUBER
2542 653 -0.77 GRUBER
2555 656 -0.66 GRUBER
2555 656 -0.56 GRUBER
2564 659 -0.97 GRUBER
2564 659 -0.34 GRUBER
2565 659 -0.97 GRUBER
2573 661 -1.11 GRUBER
2573 661 -0.77 GRUBER
2573 661 -1.23 GRUBER
2584 664 -1.27 GRUBER
2584 664 -1.15 GRUBER
2594 667 -0.98 GRUBER
2594 667 -1.04 GRUBER
2604 669 -1.39 GRUBER
2604 669 -1.29 GRUBER
2614 672 -1.5 GRUBER
2614 672 -1.42 GRUBER
2625 675 -1.22 GRUBER
2625 675 -1.4 GRUBER
2635 678 -1.46 GRUBER
2635 678 -1.37 GRUBER
2645 680 -1.8 GRUBER
2645 680 -1.5 GRUBER
2655 683 -1.87 GRUBER
2655 683 -1.74 GRUBER
2660 684 -1.71 GRUBER
2664 685 -1.91 GRUBER
2664 685 -1.88 GRUBER
2670 687 -2.04 GRUBER
2674 688 -2.09 GRUBER
2674 688 -1.91 GRUBER
2680 690 -1.94 GRUBER
2684 691 -1.74 GRUBER
2684 691 -1.83 GRUBER
2690 692 -1.83 GRUBER
2700 695 -1.63 GRUBER
2710 698 -1.6 GRUBER
2720 701 -1.37 GRUBER
2730 703 -1.18 GRUBER
2740 706 -1.51 GRUBER
2750 709 -1.59 GRUBER
2760 712 -1.44 GRUBER
2770 714 -0.73 GRUBER
2780 717 -0.73 GRUBER
2790 719 -0.74 GRUBER
2800 722 -0.98 GRUBER
2806 723 -0.92 GRUBER
2810 724 -0.94 GRUBER
2814 725 -1.11 GRUBER
2820 727 -1.17 GRUBER
2824 728 -1.28 GRUBER
2830 729 -1.29 GRUBER
2834 731 -1.42 GRUBER
2840 732 -1.45 GRUBER
2841 732 -1.36 GRUBER
2877 742 -0.98 GRUBER
2885 744 -1.06 GRUBER
2895 746 -0.94 GRUBER
2905 749 -0.96 GRUBER
2912 750 -0.8 GRUBER
2925 754 -1.1 GRUBER
2935 756 -1.14 GRUBER
2946 759 -1.07 GRUBER
2955 761 -1.14 GRUBER
2965 764 -1.39 GRUBER
2975 767 -1.31 GRUBER
2985 769 -1.74 GRUBER
2994 771 -1.57 GRUBER
3005 774 -1.77 GRUBER
3016 777 -1.72 GRUBER
3024 779 -1.71 GRUBER
3031 781 -1.74 GRUBER
3043 784 -2.11 GRUBER
3055 786 -1.63 GRUBER
3065 788 -1.47 GRUBER
3074 790 -1.13 GRUBER
3085 792 -0.66 GRUBER
3095 794 -0.62 GRUBER
3105 796 -0.67 GRUBER
3115 798 -0.73 GRUBER
3125 799 -0.49 GRUBER
3135 801 -0.88 GRUBER
3145 803 -1.07 GRUBER
3152 804 -1.18 GRUBER
3162 806 -1.08 GRUBER
3174 809 -1.09 GRUBER
3184 810 -1.32 GRUBER
3193 812 -1.47 GRUBER
3193 812 -1.31 GRUBER
3204 814 -1.72 GRUBER
3204 814 -1.27 GRUBER
3215 816 -1.67 GRUBER
3215 816 -1.75 GRUBER
3225 818 -1.38 GRUBER
3225 818 -1.43 GRUBER
3235 820 -1.89 GRUBER
3235 820 -1.61 GRUBER
3245 822 -1.88 GRUBER
3245 822 -1.77 GRUBER
