NOAA Paleoclimatology Program -
odp-677-fwc.txt   
Complete Data  
File Created: 18-jan-05 
   
Missing Values indicated by
   
PI: Nicholas J. Shackleton
Core/Site: ODP-677  
Latitude: 1.12.00N ( 1.2)
Longitude: 83.44.00W ( -83.73333)
Water depth. m: 3450
   
Publications:   
Shackleton et al.. 1990.
   
Description & Notes: 
Astronomical timescale for the
Patching of ODP-677 A
sample id.  
   
   
CORE: ODP-677 CORE: ODP-677
depth kyrBP d18Oforams-b notes
6462 1577 4.16 PWUELL
6480 1584 4.01 PWUELL
6490 1588 3.93 PWUELL
6498 1591 3.72 PWUELL
6510 1596 4.38 PWUELL
6520 1599 3.87 PWUELL
6520 1599 3.75 PWUELL
6540 1606 3.47 PWUELL
6550 1610 3.49 PWUELL
6560 1613 3.4 PWUELL
6570 1616 3.64 PWUELL
6590 1622 3.86 PWUELL
6598 1625 3.89 PWUELL
6608 1628 3.82 PWUELL
6640 1638 4.02 PWUELL
6700 1649 4.31 PWUELL
6708 1650 4.16 PWUELL
6720 1653 4.34 PWUELL
6730 1655 4.17 PWUELL
6740 1658 4.31 PWUELL
6740 1658 4.28 PWUELL
6750 1660 4.26 PWUELL
6750 1660 4.4 PWUELL
6760 1663 4.35 PWUELL
6760 1663 4.17 PWUELL
6780 1668 4.28 PWUELL
6780 1668 4.22 PWUELL
6790 1670 4.06 PWUELL
6810 1675 3.83 PWUELL
6818 1677 3.79 PWUELL
6830 1679 3.84 PWUELL
6840 1682 3.78 PWUELL
6840 1682 3.66 PWUELL
6850 1684 3.73 PWUELL
6870 1689 3.83 PWUELL
6880 1691 3.97 PWUELL
6890 1693 3.89 PWUELL
6960 1709 4.06 PWUELL
7031 1726 3.99 PWUELL
7240 1778 3.57 PWUELL
7250 1780 3.61 PWUELL
7268 1784 3.85 PWUELL
7300 1790 4.23 PWUELL
7330 1797 4.14 PWUELL
7400 1812 3.64 PWUELL
7480 1832 3.88 PWUELL
7490 1834 3.71 PWUELL
7510 1838 3.93 PWUELL
7550 1844 3.6 PWUELL
7560 1846 3.82 PWUELL
7605 1863 3.95 PWUELL
7620 1873 3.73 PWUELL
7740 1934 3.66 PWUELL
7741 1934 3.67 PWUELL
7760 1941 3.68 PWUELL
7779 1946 3.51 PWUELL
7960 1984 3.33 PWUELL
8000 1990 3.93 PWUELL
8040 1996 3.85 PWUELL
8060 1999 3.94 PWUELL
8070 2001 3.91 PWUELL
8218 2023 3.41 PWUELL
8230 2024 3.61 PWUELL
8270 2029 3.84 PWUELL
8300 2032 3.88 PWUELL
8310 2033 4.04 PWUELL
8320 2034 4.03 PWUELL
8330 2035 4.02 PWUELL
8340 2036 3.63 PWUELL
8350 2037 3.98 PWUELL
8365 2039 3.92 PWUELL
8380 2040 3.95 PWUELL
8390 2042 3.95 PWUELL
8401 2043 4 PWUELL
8410 2044 3.99 PWUELL
8420 2045 4.08 PWUELL
8429 2046 4.09 PWUELL
8439 2047 3.9 PWUELL
8449 2048 3.87 PWUELL
8479 2051 3.98 PWUELL
8490 2052 3.8 PWUELL
8500 2053 3.72 PWUELL
8518 2055 3.8 PWUELL
