/* DATA DESCRIPTION:
Citation:	Raymo, ME et al. (1992): (Table A3) Stable carbon and oxygen isotope ratios of Cibicidoides spp. from DSDP Hole 94-610A in the North Atlantic, doi:10.1594/PANGAEA.358432,
	In Supplement to: Raymo, Maureen E; Hodell, David A; Jansen, Eystein (1992): Response of deep ocean circulation to initiation of Northern Hemisphere glaciation (3-2 MA), Paleoceanography, 7(5), 645-672, doi:10.1029/92PA01609
Project(s):	Deep Sea Drilling Project (DSDP) (URI: http://www.deepseadrilling.org/)
Coverage:	WEST: -18.8868 * EAST: -18.8868 * SOUTH: 53.2215 * NORTH: 53.2215
	DATE/TIME START: 1983-07-28T00:00:00 * DATE/TIME END: 1983-07-28T00:00:00
	MINIMUM DEPTH, sediment: 116.2 m * MAXIMUM DEPTH, sediment: 180.1 m
Event(s):	94-610A * LATITUDE: 53.2215 * LONGITUDE: -18.8868 * ELEVATION: -2417.0 m * DATE/TIME: 1983-07-28T00:00:00 * RECOVERY: 191.40 m * PENETRATION: 201.00 m * LOCATION: North Atlantic/RIDGE * CAMPAIGN: Leg94 (URI: doi:10.2973/dsdp.proc.94.1987) * BASIS: Glomar Challenger (URI: http://odp.pangaea.de/glomar.html) * DEVICE: Drilling * COMMENT: 21 cores; 201 m cored; 0 m drilled; 95.2 % recovery
Parameter(s):	DEPTH, sediment [m] (Depth) * Geocode
	Age model [ka] (Age model) * PI: Raymo, Maureen E * METHOD: Age model, paleomag, Berggren et al (1985) (URI: doi:10.1130/0016-7606(1985)96<1407:CG>2.0.CO;2) * COMMENT: calculated ages
	Cibicidoides spp., d18O [per mil PDB] (Cibicidoides spp. d18O) * PI: Raymo, Maureen E * METHOD: Mass spectrometer Finnigan MAT 251 * COMMENT: adjusted by 0.64 ‰ (Shackleton & Hall, 1984, doi:10.2973/dsdp.proc.81.116.1984)
	Cibicidoides spp., d13C [per mil PDB] (Cibicidoides spp. d13C) * PI: Raymo, Maureen E * METHOD: Mass spectrometer Finnigan MAT 251
Size:	1011 data points
*/
Depth [m]	Age model [ka]	Cibicidoides spp. d18O [per mil PDB]	Cibicidoides spp. d13C [per mil PDB]
160.37	3127	3.33	0.81
160.65	3132	3.40	0.75
160.81	3135	3.44	0.72
161.11	3141	3.57	0.70
161.26	3143	3.77	0.20
161.41	3146	4.06	0.33
161.71	3151	4.00	0.13
161.86	3154	3.88	0.34
162.91	3173	2.73	-0.14
163.05	3175	3.51	0.76
163.21	3178	2.71	0.34
163.36	3181	1.80	0.01
163.51	3183	2.84	0.50
163.66	3186	2.36	0.45
163.81	3189	3.13	0.61
163.96	3191	3.13	0.69
164.09	3194	2.45	0.38
164.25	3197	3.25	0.69
164.41	3200	3.16	0.11
164.54	3202	3.42	0.85
165.15	3213	3.27	-0.13
165.31	3215	3.36	0.33
165.59	3221	3.17	0.64
165.91	3226	3.23	0.82
166.06	3229	3.24	0.64
166.21	3232	3.35	0.78
166.51	3237	3.18	0.14
166.66	3240	3.34	0.26
166.81	3242	3.34	0.57
166.96	3245	3.33	0.75
167.08	3247	3.50	0.85
167.26	3250	3.11	0.75
167.40	3253	3.29	0.76
167.56	3256	3.16	0.52
167.71	3258	2.98	0.65
167.86	3261	3.10	0.79
168.01	3264	3.16	0.88
168.16	3266	3.06	0.55
168.31	3269	3.44	0.89
168.49	3272	3.66	0.57
168.76	3277	3.63	0.79
168.90	3280	3.36	0.57
169.05	3282	3.04	0.67
169.21	3285	3.16	0.64
169.44	3289	3.21	0.84
169.51	3290	3.04	0.82
169.65	3293	3.46	0.84
169.81	3296	3.24	1.02
169.96	3298	3.18	0.85
170.09	3301	3.43	0.84
170.26	3304	3.39	0.69
172.36	3341	3.18	0.90
172.51	3344	3.12	1.00
172.66	3347	3.18	1.02
172.81	3349	3.23	1.02
172.96	3352	3.10	1.09
173.11	3355	2.78	0.98
173.26	3357	2.53	0.72
173.41	3360	2.85	0.79
173.56	3363	2.88	0.58
173.69	3365	2.49	0.43
174.01	3371	3.07	0.64
174.16	3373	3.17	0.67
174.31	3376	2.95	0.95
174.46	3379	3.07	0.94
174.61	3381	2.82	0.88
174.76	3384	2.92	1.06
174.91	3387	2.91	1.03
174.99	3388	2.98	0.85
175.19	3392	2.27	0.63
175.36	3395	2.44	0.63
175.51	3397	2.97	1.01
175.66	3400	2.70	0.83
175.81	3403	3.11	0.88
175.96	3405	2.52	0.57
176.11	3408	2.84	0.83
176.26	3411	2.71	0.67
176.41	3414	2.74	0.86
176.56	3416	3.55	1.20
176.69	3418	2.91	1.13
176.86	3421	2.93	1.13
177.01	3424	3.49	1.36
177.16	3427	3.76	1.43
177.31	3430	2.88	0.89
177.46	3432	2.57	0.84
177.61	3435	2.93	0.66
177.76	3438	3.14	0.68
177.91	3440	3.08	0.84
178.11	3444	3.19	0.97
178.19	3445	3.06	0.99
178.36	3448	2.41	0.01
178.51	3451	2.77	0.63
178.65	3453	3.16	0.96
178.81	3456	2.79	-0.74
178.98	3459	2.07	0.59
179.11	3462	2.21	0.68
179.26	3464	2.31	0.56
179.40	3467	2.42	0.65
179.56	3470	2.80	0.46
179.69	3472	2.46	-0.11
179.86	3475	3.29	0.43
180.14	3480	3.57	0.84
