Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
LAST UPDATE: 3/2005 (Original receipt by WDC Paleo)
CONTRIBUTOR: Torsten Bickert, Fachbereich Geowissenschaften, Universitat Bremen
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-029

SUGGESTED DATA CITATION: Bickert, T., et al.  2005. 
Late Neogene Caribbean ODP999 Benthic Stable Isotope Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2005-029.
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.

ORIGINAL REFERENCE: Bickert, T., G.H. Haug, and R. Tiedemann.  2004.
Late Neogene benthic stable isotope record of Ocean Drilling Program 
Site 999: Implications for Caribbean paleoceanography, organic carbon 
burial, and the Messinian Salinity Crisis.
Paleoceanography, Vol. 19, PA1023, doi:10.1029/2002PA000799. 


ABSTRACT:
We report on epibenthic foraminiferal d18O and d13C and percentage coarse 
fraction records from Caribbean Ocean Drilling Program (ODP) Site 999 
(12°44 N, 78°44 W, Water depth 2828 m.) spanning the interval from 
8.5 to 5.3 Ma. Low epibenthic d13C values and low amounts of sand-sized 
particles (mostly foraminifer shells) indicate a poorly ventilated deep 
Caribbean throughout the late Miocene. At this time the deep Caribbean was 
dominated by a nutrient-rich and corrosive water mass. A generally constant 
d13C gradient between the Caribbean and deep Atlantic records during the 
late Miocene suggests that the fluctuations in d13Creflect global changes 
in d13C of the dissolved inorganic carbon due to varying erosion of organic 
carbon from terrigenous soils and shelf sediments. The observed 100-kyr 
cyclicity of epibenthic d13C is in good accordance with the variability 
of terrigenous input to the equatorial Atlantic as recorded by magnetic 
susceptibility records of the Ceara Rise. However, some short-term 
gradient changes between 7.0 and 4.5 Ma indicate a poorer ventilation 
of the deep Atlantic related to a reduced production of deep water in 
the Atlantic. The Messinian Salinity Crisis between 6.0 and 5.3 Ma did not 
affect the intermediate to deep water gradient between the Caribbean and 
the Atlantic. Comparison to the Bahama platform record of ODP Site 1006, 
however, indicates a poorer ventilation of the shallower northern Caribbean 
basins coincident with the isolation of the Mediterranean Sea. 


GEOGRAPHIC REGION: Caribbean Sea
PERIOD OF RECORD:  8.5 - 5.3 MMYrBP 

DESCRIPTION: 
Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
ODP999A: 12°44.639 N, 78°44.360 W, Water depth 2828 m.

Benthic stable carbon and oxygen isotope record (C. wuellerstorfi) and 
percentage coarse fraction data of Caribbean Sea ODP site 999, spanning 
the late Miocene interval between 8.5 and 5.3 Ma.


DATA:
1. Core ODP999 c. wuellerstorfi isotope and grain size data
Column 1: Sample ID
Column 2: Core Section 
Column 2: Section Top depth
Column 2: Total depth, Meters below sea floor
Column 2: Adjusted Depth
Column 2: Age, Million Years Before Present
Column 2: Percent of sediment grains greater than 63 microns
Column 3: c. wuellerstorfi d13C per mil
Column 3: c. wuellerstorfi d18O per mil


                                                            c. wuellerstorfi
Sample    Sec    Top    mbsf     rmbsf*0.9   age(my)   >63µ(%)  d13C(‰)   d18O(‰)
999A24X    04    145   216.25    215.655     7.722     10.13
999A24X    05      5   216.35    215.745     7.726      8.81
999A24X    05     15   216.45    215.835     7.730      9.27      1.23      1.63
999A24X    05     25   216.55    215.925     7.734      9.48      1.02      1.65
999A24X    05     35   216.65    216.015     7.738     11.55
999A24X    05     45   216.75    216.105     7.742      7.55      0.94      1.76
999A24X    05     66   216.96    216.294     7.750     10.98      0.87      1.68
999A24X    05     75   217.05    216.375     7.754      8.48
999A24X    05     85   217.15    216.465     7.758     10.42      0.68      1.63
999A24X    05     95   217.25    216.555     7.759      7.29
999A24X    05    105   217.35    216.645     7.761      8.77      0.79      1.75
999A24X    05    115   217.45    216.735     7.762     11.36      0.76      1.46
999A24X    05    125   217.55    216.825     7.764      9.41
999A24X    05    135   217.65    216.915     7.765     10.58      0.84      1.58
999A24X    05    145   217.75    217.005     7.767     10.34      1.27      1.68
999A24X    06      5   217.85    217.095     7.768      8.01      1.26      1.35
999A24X    06     15   217.95    217.185     7.769      8.48      1.05      1.23
999A24X    06     25   218.05    217.275     7.771      8.78      1.10      1.53
999A24X    06     35   218.15    217.365     7.772     11.26      1.03      1.97
999A24X    06     45   218.25    217.455     7.774     12.72      0.92      1.48
999A24X    06     65   218.45    217.635     7.777      8.81      0.78      1.75
999A24X    06     75   218.55    217.725     7.778     10.07      0.93      1.77
999A24X    06     85   218.65    217.815     7.780     13.51      0.84      1.62
999A24X    06     95   218.75    217.905     7.781      6.04      1.19      1.72
999A24X    06    105   218.85    217.995     7.782     12.63      0.61      1.75
999A24X    06    115   218.95    218.085     7.784     14.32      1.11      2.05
999A24X    06    125   219.05    218.175     7.786      8.63      0.65      1.65
999A24X    06    135   219.15    218.265     7.789     14.02      0.78      1.68
999A24X    06    143   219.23    218.337     7.791     12.86      0.73      1.76
999A24X    07      5   219.35    218.445     7.793      8.87      0.70      1.87
999A24X    07     15   219.45    218.535     7.796     11.10      0.48      1.87
999A24X    07     25   219.55    218.625     7.798     11.67      0.72      1.98
999A24X    07     35   219.65    218.715     7.801      7.93      0.54      1.71
999A24X    CC      5   219.78    218.832     7.804      9.39
999A24X    CC     15   219.88    218.922     7.806      7.56      0.43      1.57
999A24X    CC     25   219.98    219.012     7.808     11.46      0.52      1.74
999A25X    01      5   219.95    219.945     7.833      4.86      0.27      1.57
999A25X    01     15   220.05    220.035     7.836      8.35      0.61      1.57
999A25X    01     25   220.15    220.125     7.838     10.37      0.32      1.08
999A25X    01     35   220.25    220.215     7.840      6.55      0.58      1.63
999A25X    01     46   220.36    220.314     7.843      7.24      0.59      1.53
999A25X    01     65   220.55    220.485     7.847      7.54      0.64      1.88
999A25X    01     75   220.65    220.575     7.850      5.13      0.90      1.73
999A25X    01     85   220.75    220.665     7.852      4.88      0.67      1.88
999A25X    01     95   220.85    220.755     7.855      9.97      0.71      1.89
999A25X    01    105   220.95    220.845     7.857                0.78      1.79
999A25X    01    115   221.05    220.935     7.859
999A25X    01    125   221.15    221.025     7.862                1.03      1.97
999A25X    01    135   221.25    221.115     7.865                0.81      1.88
999A25X    01    145   221.35    221.205     7.868                0.68      1.88
999A25X    02      5   221.45    221.295     7.871                0.86      1.86
999A25X    02     15   221.55    221.385     7.874                0.51      1.66
999A25X    02     25   221.65    221.475     7.877                0.88      1.57
999A25X    02     35   221.75    221.565     7.880                0.69      1.72
999A25X    02     45   221.85    221.655     7.883                0.74      1.80
999A25X    02     65   222.05    221.835     7.890                0.60      1.96
999A25X    02     75   222.15    221.925     7.893                0.59      1.59
999A25X    02     85   222.25    222.015     7.896                0.95      1.76
999A25X    02     95   222.35    222.105     7.899                0.95      1.81
999A25X    02    105   222.45    222.195     7.902                0.79      1.65
999A25X    02    115   222.55    222.285     7.904                0.94      1.59
999A25X    02    125   222.65    222.375     7.907                0.73      1.67
999A25X    02    135   222.75    222.465     7.909                0.68      1.70
999A25X    02    145   222.85    222.555     7.912                0.76      1.73
999A25X    03      5   222.95    222.645     7.915                1.02      1.85
999A25X    03     15   223.05    222.735     7.917                0.87      1.62
999A25X    03     25   223.15    222.825     7.920                0.90      1.54
999A25X    03     35   223.25    222.915     7.922                0.91      1.46
999A25X    03     45   223.35    223.005     7.925                0.84      1.27
999A25X    03     65   223.55    223.185     7.930
999A25X    03     75   223.65    223.275     7.933                0.75      1.87
999A25X    03     85   223.75    223.365     7.935                0.84      1.82
999A25X    03     95   223.85    223.455     7.938                0.83      1.90
999A25X    03    105   223.95    223.545     7.942
999A25X    03    115   224.05    223.635     7.947                0.59      1.49
999A25X    03    123   224.13    223.707     7.950                0.70      1.76
999A25X    03    135   224.25    223.815     7.956                1.00      1.69
999A25X    04      5   224.45    223.995     7.965                0.85      1.76
999A25X    04     15   224.55    224.085     7.969                1.19      1.60
999A25X    04     25   224.65    224.175     7.974                0.82      1.69
999A25X    04     35   224.75    224.265     7.978                0.83      1.77
999A25X    04     45   224.85    224.355     7.982                0.91      1.34
999A25X    04     65   225.05    224.535     7.991                0.71      1.66
999A25X    04     75   225.15    224.625     7.996                0.95      1.60
999A25X    04     85   225.25    224.715     8.000                0.47      1.45
999A25X    04    105   225.45    224.895     8.005                0.95      1.82
999A25X    04    115   225.55    224.985     8.007
999A25X    04    125   225.65    225.075     8.010                0.61      1.76
999A25X    04    135   225.75    225.165     8.012                0.94      1.72
999A25X    04    145   225.85    225.255     8.014
999A25X    05      5   225.95    225.345     8.017                0.83      1.45
999A25X    05     15   226.05    225.435     8.019                1.11      2.02
999A25X    05     25   226.15    225.525     8.021                0.94      1.86
999A25X    05     35   226.25    225.615     8.024                1.01      1.50
999A25X    05     45   226.35    225.705     8.026                1.09      1.68
999A25X    05     65   226.55    225.885     8.030                1.31      1.73
999A25X    05     75   226.65    225.975     8.033                0.75      1.57
999A25X    05     85   226.75    226.065     8.035                1.14      1.77
999A25X    05     95   226.85    226.155     8.037
999A25X    05    105   226.95    226.245     8.040                0.96      1.82
999A25X    05    115   227.05    226.335     8.042
999A25X    05    125   227.15    226.425     8.044
999A25X    05    135   227.25    226.515     8.047                0.94      1.73
999A25X    05    145   227.35    226.605     8.049                1.01      1.55
999A25X    06      5   227.45    226.695     8.051
999A25X    06     15   227.55    226.785     8.054                0.77      1.36
999A25X    06     27   227.67    226.893     8.057                0.88      1.87
999A25X    06     33   227.73    226.947     8.058                1.14      1.66
999A25X    06     45   227.85    227.055     8.061                0.41      1.36
999A25X    06     65   228.05    227.235     8.065                0.91      1.75
999A25X    06     75   228.15    227.325     8.068                0.43      1.79
999A25X    06     85   228.25    227.415     8.070                0.55      1.58
999A25X    06     95   228.35    227.505     8.072                0.35      1.62
999A25X    06    105   228.45    227.595     8.075
999A25X    06    115   228.55    227.685     8.077                0.41      1.99
999A25X    06    125   228.65    227.775     8.080                0.78      2.07
999A25X    06    135   228.75    227.865     8.084                0.40      1.85
999A25X    06    145   228.85    227.955     8.087                0.79      2.05
999A25X    07      5   228.95    228.045     8.091                0.96      1.94
999A25X    07     15   229.05    228.135     8.094                0.87      2.18
999A25X    07     25   229.15    228.225     8.098                0.89      1.53
999A25X    07     35   229.25    228.315     8.101                0.95      1.86
999A25X    07     45   229.35    228.405     8.105                0.99      2.08
999A25X    CC      5   229.43    228.477     8.107                0.82      1.85
999A25X    CC     15   229.53    228.567     8.111                0.70      1.84
999A26X    01      5   229.55    229.545     8.148
999A26X    01     15   229.65    229.635     8.152                0.78      1.74
999A26X    01     23   229.73    229.707     8.155                0.45      1.68
999A26X    01     33   229.83    229.797     8.160                0.80      1.72
999A26X    01     45   229.95    229.905     8.165                0.71      1.72
999A26X    01     65   230.15    230.085     8.174                0.68      1.41
999A26X    01     75   230.25    230.175     8.178                0.42      1.51
999A26X    01     85   230.35    230.265     8.183                0.67      1.39
999A26X    01     95   230.45    230.355     8.187                0.57      1.93
999A26X    01    105   230.55    230.445     8.192                0.64      1.92
999A26X    01    115   230.65    230.535     8.196                0.88      1.80
999A26X    01    125   230.75    230.625     8.201                0.71      1.93
999A26X    01    135   230.85    230.715     8.205                0.66      1.33
999A26X    01    145   230.95    230.805     8.209                0.81      1.70
999A26X    02      5   231.05    230.895     8.214                0.86      1.79
999A26X    02     15   231.15    230.985     8.218
999A26X    02     25   231.25    231.075     8.223                0.85      1.92
999A26X    02     35   231.35    231.165     8.225                0.90      1.61
999A26X    02     45   231.45    231.255     8.227
999A26X    02     65   231.65    231.435     8.230                0.97      1.66
999A26X    02     75   231.75    231.525     8.232
999A26X    02     85   231.85    231.615     8.234
999A26X    02     95   231.95    231.705     8.236                1.00      1.83
999A26X    02    105   232.05    231.795     8.238                1.06      1.59
999A26X    02    115   232.15    231.885     8.240
999A26X    02    125   232.25    231.975     8.242
999A26X    02    135   232.35    232.065     8.244
999A26X    02    145   232.45    232.155     8.246
999A26X    03      6   232.56    232.254     8.248                0.90      1.60
999A26X    03     15   232.65    232.335     8.249                0.75      1.86
999A26X    03     25   232.75    232.425     8.251                1.10      1.69
999A26X    03     35   232.85    232.515     8.253
999A26X    03     45   232.95    232.605     8.255                1.11      1.43
999A26X    03     75   233.25    232.875     8.261                0.81      1.75
999A26X    03     85   233.35    232.965     8.263                0.98      1.53
999A26X    03     95   233.45    233.055     8.265                0.85      1.56
999A26X    03    105   233.55    233.145     8.267                0.95      1.62
999A26X    03    115   233.65    233.235     8.269                0.92      1.65
999A26X    03    125   233.75    233.325     8.271                1.11      1.62
999A26X    03    135   233.85    233.415     8.272                0.78      2.02
999A26X    03    145   233.95    233.505     8.274                0.86      1.82
999A26X    04      5   234.05    233.595     8.276                1.16      1.64
999A26X    04     15   234.15    233.685     8.278                1.06      1.57
999A26X    04     25   234.25    233.775     8.280                0.94      1.50
999A26X    04     35   234.35    233.865     8.282                0.88      1.70
999A26X    04     45   234.45    233.955     8.284                0.87      1.65
999A26X    04     65   234.65    234.135     8.288                0.57      1.61
999A26X    04     75   234.75    234.225     8.290                0.49      1.23
999A26X    04     85   234.85    234.315     8.292
999A26X    04     95   234.95    234.405     8.293
999A26X    04    105   235.05    234.495     8.295                1.21      2.00
999A26X    04    115   235.15    234.585     8.297                1.44      2.07
999A26X    04    125   235.25    234.675     8.301                0.76      1.90
999A26X    04    135   235.35    234.765     8.304                1.38      1.74
999A26X    04    145   235.45    234.855     8.308                0.95      1.80
999A26X    05      5   235.55    234.945     8.311                1.17      1.86
999A26X    05     15   235.65    235.035     8.314                1.10      1.90
999A26X    05     25   235.75    235.125     8.318                1.71      1.87
999A26X    05     35   235.85    235.215     8.321                0.95      1.99
999A26X    05     45   235.95    235.305     8.325                0.82      1.98
999A26X    05     65   236.15    235.485     8.332                1.14      2.17
999A26X    05     75   236.25    235.575     8.335
999A26X    05     85   236.35    235.665     8.339                1.12      2.06
999A26X    05     95   236.45    235.755     8.342                1.10      2.01
999A26X    05    105   236.55    235.845     8.345                1.04      2.04
999A26X    05    115   236.65    235.935     8.349                1.22      2.08
999A26X    05    125   236.75    236.025     8.352                0.98      2.09
999A26X    05    135   236.85    236.115     8.356                1.20      1.94
999A26X    05    145   236.95    236.205     8.359                1.17      2.20
999A26X    06      5   237.05    236.295     8.363                1.24      2.07
999A26X    06     15   237.15    236.385     8.366                1.18      2.05
999A26X    06     25   237.25    236.475     8.369                0.83      2.00
999A26X    06     35   237.35    236.565     8.373                0.83      1.75
999A26X    06     45   237.45    236.655     8.376                0.90      2.06
999A26X    06     65   237.65    236.835     8.383                1.17      2.06
999A26X    06     75   237.75    236.925     8.387                0.93      2.01
999A26X    06     85   237.85    237.015     8.390                0.93      2.02
999A26X    06     95   237.95    237.105     8.393                0.91      1.74
999A26X    06    105   238.05    237.195     8.397                0.68      1.77
999A26X    06    115   238.15    237.285     8.400                0.68      1.48
999A26X    06    125   238.25    237.375     8.404                0.63      1.83
999A26X    06    135   238.35    237.465     8.407                0.81      2.05
999A26X    06    145   238.45    237.555     8.411                0.91      1.99
999A26X    07      5   238.55    237.645     8.414                0.92      2.02
999A26X    07     15   238.65    237.735     8.417                0.96      1.78
999A26X    07     25   238.75    237.825     8.421                0.52      1.79
999A26X    07     35   238.85    237.915     8.424                1.10      1.39
999A26X    07     45   238.95    238.005     8.428                0.94      2.07
999A26X    CC      5   239.04    238.086     8.431                0.85      1.95


