# NOAA Paleoclimatology Program - Paleocean Site Data
# odp999ab-tab.txt
# Complete Data
# File Created: 26-Apr-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Torsten Bickert
# Core/Site:      ODP999A
# Latitude:       12.45.00N	( 12.75)
# Longitude:      78.44.00W	( -78.73333)
# Water Depth(m): 2827
#
# Publications:
#   Bickert, T., G.H. Haug, and R. Tiedemann.  2004. Late Neogene benthic stable
#     isotope record of Ocean Drilling Program Site 999: Implications for Caribbean
#     paleoceanography, organic carbon burial, and the Messinian Salinity Crisis.Paleoceanography,
#     Vol. 19, PA1023.
#------------------
#
# Description & Notes:
#   Late Neogene Caribbean ODP999 Benthic Stable Isotope Data
#   Notes column has sample ID, core section and section top depth.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             cfrac%>63     Course fraction percent (>63 micron)
#             corrdptcm     Corrected depth (cm)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP999A
depth	yrBP 	cfrac%>63	corrdptcm	d13Cc.wuell	d18Oc.wuell	notes
18975	6285000	0.9756079	18958.5	0.4103867	2.026508	999A21H 02 15
18985	6288440	0.633536	18967.5	0.7160624	1.733533	999A21H 02 25
18995	6291890	0.6818007	18976.5	-999	-999	999A21H 02 35
19005	6295330	0.3879774	18985.5	0.4514713	1.759891	999A21H 02 45
19025	6302220	0.4294914	19003.5	0.5374363	1.915656	999A21H 02 65
19035	6305670	0.6994758	19012.5	0.538412	1.862275	999A21H 02 75
19045	6309110	0.593042	19021.5	0.705932	1.916699	999A21H 02 85
19055	6312560	0.4043797	19030.5	0.2002745	1.608775	999A21H 02 95
19065	6316000	0.7095029	19039.5	0.4555515	1.934627	999A21H 02 105
19075	6319440	0.9426642	19048.5	0.2360479	1.863054	999A21H 02 115
19085	6322890	0.5902407	19057.5	0.3286947	2.031086	999A21H 02 125
19095	6326330	0.9805212	19066.5	0.680526	1.855892	999A21H 02 135
19105	6329780	1.427517	19075.5	0.526142	1.8176	999A21H 02 145
19115	6333220	0.8413922	19084.5	0.6911609	1.914477	999A21H 03 5
19125	6336670	0.797594	19093.5	0.3353635	1.857079	999A21H 03 15
19135	6340110	0.5393144	19102.5	0.7199693	1.907747	999A21H 03 25
19145	6343560	0.5074564	19111.5	0.7157285	1.811657	999A21H 03 35
19155	6347000	1.445073	19120.5	0.5355699	2.133076	999A21H 03 45
19175	6365000	1.023767	19138.5	0.6981223	2.011856	999A21H 03 65
19185	6374000	1.554145	19147.5	0.4342778	1.542902	999A21H 03 75
19195	6383000	2.99698	19156.5	0.8051291	1.898874	999A21H 03 85
19205	6392000	2.462957	19165.5	-999	-999	999A21H 03 95
19215	6401000	1.761837	19174.5	0.5751957	1.640314	999A21H 03 105
19225	6410000	0.6194537	19183.5	0.6601911	2.017656	999A21H 03 115
19235	6412920	1.022895	19192.5	0.6287972	1.873739	999A21H 03 125
19245	6415830	1.851611	19201.5	0.5757266	1.944844	999A21H 03 135
19255	6418750	1.844974	19210.5	0.4889994	1.816489	999A21H 03 145
19265	6421670	1.683928	19219.5	0.441356	1.78043	999A21H 04 5
19275	6424580	1.416532	19228.5	0.1044992	1.856114	999A21H 04 15
19285	6427500	1.572576	19237.5	0.22785	1.7378	999A21H 04 25
19295	6430420	1.243588	19246.5	0.1738469	1.845357	999A21H 04 35
19305	6433330	1.278685	19255.5	0.3198828	1.850619	999A21H 04 45
19325	6439170	1.027921	19273.5	0.4745992	1.855456	999A21H 04 65
