depth (mcd)	LR04 age (ka)	benthic O18
127.37	951.42	2.46
127.37	951.42	2.69
127.37	951.42	2.60
127.37	951.42	2.86
127.37	951.42	2.75
128.97	963.74	4.01
129.87	969.50	3.56
129.87	969.50	3.66
129.87	969.50	3.57
129.87	969.50	3.68
130.17	971.31	3.29
130.20	971.49	2.91
130.20	971.49	3.33
130.20	971.49	3.33
130.47	973.13	3.50
130.50	973.31	3.50
130.50	973.31	3.68
130.50	973.31	3.51
130.80	975.12	2.38
130.80	975.12	2.91
131.10	976.93	2.71
131.70	980.77	3.07
131.70	980.77	3.15
132.00	983.08	3.53
132.09	983.81	3.57
132.69	988.65	3.66
132.99	991.00	3.36
133.29	992.94	3.36
133.29	992.94	3.44
133.58	994.80	3.48
133.58	994.80	3.23
133.58	994.80	3.35
133.58	994.80	3.48
133.59	994.87	3.30
133.59	994.87	3.41
133.59	994.87	3.48
133.59	994.87	3.36
133.59	994.87	3.47
133.88	996.74	3.12
133.88	996.74	3.13
133.88	996.74	3.12
133.89	996.80	3.15
134.18	998.75	3.36
134.18	998.75	3.04
134.18	998.75	3.21
134.18	998.75	3.29
134.18	998.75	3.22
134.78	1004.65	3.97
135.68	1013.73	3.12
135.68	1013.73	3.88
135.68	1013.73	3.33
135.68	1013.73	3.28
135.68	1013.73	3.40
135.98	1016.75	3.47
135.98	1016.75	3.75
136.28	1019.77	3.18
136.28	1019.77	3.47
136.28	1019.77	3.42
136.28	1019.77	3.45
136.38	1020.78	3.59
136.38	1020.78	3.47
136.38	1020.78	3.35
136.38	1020.78	3.14
136.58	1022.80	2.40
136.88	1025.23	3.64
136.88	1025.23	3.43
136.88	1025.23	3.34
136.88	1025.23	3.39
137.18	1027.16	3.25
137.18	1027.16	3.41
137.48	1029.10	3.23
137.48	1029.10	2.67
137.48	1029.10	2.43
137.78	1031.03	3.87
137.78	1031.03	3.72
137.78	1031.03	3.80
138.08	1033.05	3.80
138.08	1033.05	3.80
138.08	1033.05	3.85
138.08	1033.05	3.80
138.68	1037.89	4.19
138.98	1040.30	3.90
138.98	1040.30	3.95
138.98	1040.30	3.90
139.28	1042.72	3.89
139.28	1042.72	3.91
139.28	1042.72	3.94
139.48	1044.33	3.85
139.48	1044.33	4.00
